GENERATION_PROJECT,ev_dbid,ev_tech,ev_energy_source,ev_load_zone,ev_max_age,ev_is_variable,ev_is_flexible_baseload,ev_is_baseload,ev_can_provide_spinning_reserves,ev_can_provide_quickstart_reserves,ev_full_load_heat_rate,ev_variable_om,ev_connect_cost_per_mw,ev_scheduled_outage_rate,ev_forced_outage_rate,ev_capacity_limit_mw,ev_min_build_capacity,ev_is_cogen,ev_storage_efficiency,ev_min_load_fraction,ev_is_pumped_hydro,ev_is_distributed
Chongqing-Ev,existing.1,Battery_Storage,Storage,Chongqing,10,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0,0,19342.89,0,FALSE,0.95,0,FALSE,TRUE
Henan-Ev,existing.1,Battery_Storage,Storage,Henan,10,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0,0,58582.37,0,FALSE,0.95,0,FALSE,TRUE
Hubei-Ev,existing.1,Battery_Storage,Storage,Hubei,10,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0,0,27712.72,0,FALSE,0.95,0,FALSE,TRUE
Hunan-Ev,existing.1,Battery_Storage,Storage,Hunan,10,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0,0,25409.37,0,FALSE,0.95,0,FALSE,TRUE
Jiangxi-Ev,existing.1,Battery_Storage,Storage,Jiangxi,10,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0,0,16489.34,0,FALSE,0.95,0,FALSE,TRUE
Sichuan-Ev,existing.1,Battery_Storage,Storage,Sichuan,10,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0,0,38146.99,0,FALSE,0.95,0,FALSE,TRUE
Anhui-Ev,existing.1,Battery_Storage,Storage,Anhui,10,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0,0,28720.93,0,FALSE,0.95,0,FALSE,TRUE
Fujian-Ev,existing.1,Battery_Storage,Storage,Fujian,10,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0,0,25344.27,0,FALSE,0.95,0,FALSE,TRUE
Jiangsu-Ev,existing.1,Battery_Storage,Storage,Jiangsu,10,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0,0,68590.83,0,FALSE,0.95,0,FALSE,TRUE
Shanghai-Ev,existing.1,Battery_Storage,Storage,Shanghai,10,FALSE,FALSE,FALSE,TRUE,TRUE,.,0,0,0,0,69883.87,0,FALSE,0.95,0,FALSE,TRUE
