ELECRRIC_VEHICLE,ev_num
Chongqing-Ev,276327
Henan-Ev,836891
Hubei-Ev,395896
Hunan-Ev,362991
Jiangxi-Ev,235562
Sichuan-Ev,544957
Anhui-Ev,410299
Fujian-Ev,362061
Jiangsu-Ev,979869
Shanghai-Ev,998341
Zhejiang-Ev,1339482
Beijing-Ev,712049
Hebei-Ev,437083
Shandong-Ev,906464
Shanxi-Ev,265323
Tianjin-Ev,374669
West_Inner_Mongolia-Ev,32060
East_Inner_Mongolia-Ev,32060
Heilongjiang-Ev,41816
Jilin-Ev,72990
Liaoning-Ev,128119
Gansu-Ev,57558
Ningxia-Ev,24328
Qinghai-Ev,10836
Shaanxi-Ev,265323
Xinjiang-Ev,46217
Guangdong-Ev,1998110
Guangxi-Ev,436217
Guizhou-Ev,172483
Hainan-Ev,186127
Yunnan-Ev,213452
Tibet-Ev,6754
