ELECRRIC_VEHICLE,timepoint_id,ev_max_power_mw,ev_driving_power
Chongqing-Ev,2025.01.22.00,980.684523,5.52654
Chongqing-Ev,2025.01.22.04,71.84502,7.4608289999999995
Chongqing-Ev,2025.01.22.08,1.7961255,45.593955
Chongqing-Ev,2025.01.22.12,260.4381975,191.494611
Chongqing-Ev,2025.01.22.16,1778.164245,151.97985
Chongqing-Ev,2025.01.22.20,1325.5406189999999,44.764974
Chongqing-Ev,2025.02.08.00,980.684523,3.315924
Chongqing-Ev,2025.02.08.04,71.84502,5.802867
Chongqing-Ev,2025.02.08.08,1.7961255,273.56372999999996
Chongqing-Ev,2025.02.08.12,260.4381975,21.277179
Chongqing-Ev,2025.02.08.16,1778.164245,182.37582
Chongqing-Ev,2025.02.08.20,1325.5406189999999,0.0
Chongqing-Ev,2025.03.21.00,980.684523,2.210616
Chongqing-Ev,2025.03.21.04,71.84502,8.28981
Chongqing-Ev,2025.03.21.08,1.7961255,136.78186499999998
Chongqing-Ev,2025.03.21.12,260.4381975,170.217432
Chongqing-Ev,2025.03.21.16,1778.164245,273.56372999999996
Chongqing-Ev,2025.03.21.20,1325.5406189999999,44.764974
Chongqing-Ev,2025.04.11.00,980.684523,0.0
Chongqing-Ev,2025.04.11.04,71.84502,1.657962
Chongqing-Ev,2025.04.11.08,1.7961255,273.56372999999996
Chongqing-Ev,2025.04.11.12,260.4381975,106.385895
Chongqing-Ev,2025.04.11.16,1778.164245,60.791940000000004
Chongqing-Ev,2025.04.11.20,1325.5406189999999,134.294922
Chongqing-Ev,2025.05.22.00,980.684523,3.315924
Chongqing-Ev,2025.05.22.04,71.84502,0.0
Chongqing-Ev,2025.05.22.08,1.7961255,410.345595
Chongqing-Ev,2025.05.22.12,260.4381975,63.831537
Chongqing-Ev,2025.05.22.16,1778.164245,91.18791
Chongqing-Ev,2025.05.22.20,1325.5406189999999,179.059896
Chongqing-Ev,2025.06.16.00,980.684523,8.842464
Chongqing-Ev,2025.06.16.04,71.84502,8.28981
Chongqing-Ev,2025.06.16.08,1.7961255,227.96977500000003
Chongqing-Ev,2025.06.16.12,260.4381975,170.217432
Chongqing-Ev,2025.06.16.16,1778.164245,151.97985
Chongqing-Ev,2025.06.16.20,1325.5406189999999,111.912435
Chongqing-Ev,2025.07.22.00,980.684523,4.421232
Chongqing-Ev,2025.07.22.04,71.84502,6.631848
Chongqing-Ev,2025.07.22.08,1.7961255,182.37582
Chongqing-Ev,2025.07.22.12,260.4381975,85.108716
Chongqing-Ev,2025.07.22.16,1778.164245,0.0
Chongqing-Ev,2025.07.22.20,1325.5406189999999,0.0
Chongqing-Ev,2025.08.19.00,980.684523,3.315924
Chongqing-Ev,2025.08.19.04,71.84502,8.28981
Chongqing-Ev,2025.08.19.08,1.7961255,227.96977500000003
Chongqing-Ev,2025.08.19.12,260.4381975,170.217432
Chongqing-Ev,2025.08.19.16,1778.164245,91.18791
Chongqing-Ev,2025.08.19.20,1325.5406189999999,44.764974
Chongqing-Ev,2025.09.20.00,980.684523,1.105308
Chongqing-Ev,2025.09.20.04,71.84502,4.144905
Chongqing-Ev,2025.09.20.08,1.7961255,455.93955000000005
Chongqing-Ev,2025.09.20.12,260.4381975,42.554358
Chongqing-Ev,2025.09.20.16,1778.164245,303.9597
Chongqing-Ev,2025.09.20.20,1325.5406189999999,89.529948
Chongqing-Ev,2025.10.26.00,980.684523,4.421232
Chongqing-Ev,2025.10.26.04,71.84502,3.315924
Chongqing-Ev,2025.10.26.08,1.7961255,273.56372999999996
Chongqing-Ev,2025.10.26.12,260.4381975,106.385895
Chongqing-Ev,2025.10.26.16,1778.164245,182.37582
Chongqing-Ev,2025.10.26.20,1325.5406189999999,22.382487
