CHARGING_STATION,sta_num_limit,sta_max_age,sta_load_zone
Chongqing-Ev,92110,20,Chongqing
Henan-Ev,278964,20,Henan
Hubei-Ev,131966,20,Hubei
Hunan-Ev,120998,20,Hunan
Jiangxi-Ev,78521,20,Jiangxi
Sichuan-Ev,181653,20,Sichuan
Anhui-Ev,136767,20,Anhui
Fujian-Ev,120688,20,Fujian
Jiangsu-Ev,326624,20,Jiangsu
Shanghai-Ev,332781,20,Shanghai
Zhejiang-Ev,446495,20,Zhejiang
Beijing-Ev,237350,20,Beijing
Hebei-Ev,145695,20,Hebei
Shandong-Ev,302155,20,Shandong
Shanxi-Ev,88442,20,Shanxi
Tianjin-Ev,124890,20,Tianjin
West_Inner_Mongolia-Ev,10687,20,West_Inner_Mongolia
East_Inner_Mongolia-Ev,10687,20,East_Inner_Mongolia
Heilongjiang-Ev,13939,20,Heilongjiang
Jilin-Ev,24331,20,Jilin
Liaoning-Ev,42707,20,Liaoning
Gansu-Ev,19187,20,Gansu
Ningxia-Ev,8110,20,Ningxia
Qinghai-Ev,3613,20,Qinghai
Shaanxi-Ev,88442,20,Shaanxi
Xinjiang-Ev,15406,20,Xinjiang
Guangdong-Ev,666037,20,Guangdong
Guangxi-Ev,145406,20,Guangxi
Guizhou-Ev,57495,20,Guizhou
Hainan-Ev,62043,20,Hainan
Yunnan-Ev,71151,20,Yunnan
Tibet-Ev,2252,20,Tibet
