,接入电网,行驶,静止（未接入电网）
1,0.273,0.004,0.723
2,0.179,0.003,0.818
3,0.1045,0.002,0.8935
4,0.0485,0.001,0.9505
5,0.02,0.003,0.977
6,0.008,0.011,0.981
7,0.0025,0.078,0.9195
8,5.00E-04,0.182,   0.8175
9,5.00E-04,0.165,0.8345
10,0.0015,0.108,0.8905
11,0.008,0.088,0.904
12,0.023,0.082,0.895
13,0.0725,0.077,0.8505
14,0.1745,0.08,0.7455
15,0.3235,0.081,0.5955
16,0.4305,0.086,0.4835
17,0.495,0.11,0.395
18,0.514,0.155,0.331
19,0.491,0.146,0.363
20,0.4315,0.106,0.4625
21,0.369,0.081,0.55
22,0.287,0.063,0.65
23,0.206,0.039,0.755
24,0.102,0.016,0.882
