Coal,Hydro,Wind,Nuclear,Gas,PV
Anhui,50607.95,2950.4400000000005,2174.0,0,0,8878.5
Beijing,2050.0,739.2299999999999,188.5,0,9376.380000000001,249.0
Chongqing,15127.0,9437.939999999999,332.7,0,940.0,126.0
East_Inner_Mongolia,16379.0,721.3199999999999,7853.75,0,0,2184.07
Fujian,25776.0,11586.23,2518.6,7543.0,4220.0,928.0
Gansu,20109.0,7800.369999999999,12821.300000000001,0,0,7857.199999999999
Guangdong,57812.0,12379.06,3452.9,18932.0,18768.4,3320.0
Guangxi,17329.8,15480.970000000003,1694.4,4405.0,0,690.2
Guizhou,32996.6,20492.67,3688.8,0,0,1551.8
Hainan,3606.0,1395.49,314.5,611.0,604.1,418.0
Hebei,45526.5,1615.46,11876.599999999999,0,800.0,8813.1
Heilongjiang,18614.0,794.5799999999999,5704.5,0,122.0,941.3
Henan,72015.5,3795.72,2330.7,0,2160.0,7034.6
Hubei,22837.0,35125.38,2528.2999999999997,0,740.3,4134.5
Hunan,23682.6,14111.330000000002,2634.7,0,0,1756.9
Jiangsu,82390.5,2648.72,6555.6,6480.0,13801.0,9073.1
Jiangxi,19563.5,5616.620000000001,1688.2,0,87.0,4494.0
Jilin,15523.0,4601.83,5046.8,0,0,1592.3000000000002
Liaoning,31239.1,2720.7700000000004,7106.400000000001,6297.6,0,2225.6
Ningxia,26277.5,333.19000000000005,9416.199999999999,0,560.0,6201.7
Qinghai,5091.5,11423.4,1620.0,0,0,7914.7
Shaanxi,35379.5,3732.87,3634.4,0,0,5340.8
Shandong,75973.02,1089.64,10611.400000000001,4850.0,0,10523.099999999999
Shanghai,15514.0,0,711.9000000000001,0,6381.44,578.1
Shanxi,62771.9,2506.4900000000002,8716.3,0,1845.0,5903.8
Sichuan,13025.85,95660.56,2104.5,0,716.29,1347.5
Tianjin,11511.5,16.89,285.5,0,2842.2200000000003,678.4
Tibet,0,2662.7,0,0,0,0
West_Inner_Mongolia,69575.5,1731.2299999999996,18849.049999999996,0,0,5241.7300000000005
Xinjiang,56988.0,6423.679999999999,18059.3,0,111.0,9340.4
Yunnan,12459.2,77107.12999999999,8186.5,0,0,2331.0
Zhejiang,50025.630000000005,10404.67,1329.8999999999999,9832.0,12267.390000000001,8137.0
