GENERATION_PROJECT,gen_dbid,gen_energy_source,gen_load_zone,gen_max_age,gen_is_variable,gen_is_baseload,gen_can_provide_spinning_reserves,gen_full_load_heat_rate,gen_variable_om,gen_connect_cost_per_mw,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_min_load_fraction,gen_capacity_limit_mw,gen_min_build_capacity,variable_gen_cost,gen_is_distributed
Anhui-Central_PV-2022,existing.1-1,Solar,Anhui,20,True,False,False,.,0.0,0,0.0,0.02,0.0,10640.0,0,0.0,False
Anhui-Coal-2022,existing.1-2,Coal,Anhui,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,53780.0,0,0.0,False
Anhui-Gas-2022,existing.1-3,Gas,Anhui,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,310.0,0,0.0,False
Anhui-Hydro_Nonpumped-2022,existing.1-4,Water,Anhui,100,False,False,False,.,0.0,0,0.09,0.05,0.0,6220.0,0,0.0,False
Anhui-PV-2022,existing.1-6,Solar,Anhui,20,True,False,False,.,0.0,0,0.0,0.02,0.0,10900.0,0,0.0,True
Anhui-Wind-2022,existing.1-7,Wind,Anhui,30,True,False,False,.,2.8,0,0.02,0.02,0.0,5900.0,0,0.0,False
Beijing-Central_PV-2022,existing.2-1,Solar,Beijing,20,True,False,False,.,0.0,0,0.0,0.02,0.0,50.0,0,0.0,False
Beijing-Coal-2022,existing.2-2,Coal,Beijing,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,770.0,0,0.0,False
Beijing-Gas-2022,existing.2-3,Gas,Beijing,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,10010.0,0,0.0,False
Beijing-Hydro_Nonpumped-2022,existing.2-4,Water,Beijing,100,False,False,False,.,0.0,0,0.09,0.05,0.0,1020.0,0,0.0,False
Beijing-PV-2022,existing.2-6,Solar,Beijing,20,True,False,False,.,0.0,0,0.0,0.02,0.0,900.0,0,0.0,True
Beijing-Wind-2022,existing.2-7,Wind,Beijing,30,True,False,False,.,2.8,0,0.02,0.02,0.0,240.0,0,0.0,False
Chongqing-Central_PV-2022,existing.3-1,Solar,Chongqing,20,True,False,False,.,0.0,0,0.0,0.02,0.0,540.0,0,0.0,False
Chongqing-Coal-2022,existing.3-2,Coal,Chongqing,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,13930.0,0,0.0,False
Chongqing-Gas-2022,existing.3-3,Gas,Chongqing,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,1410.0,0,0.0,False
Chongqing-Hydro_Nonpumped-2022,existing.3-4,Water,Chongqing,100,False,False,False,.,0.0,0,0.09,0.05,0.0,7910.0,0,0.0,False
Chongqing-PV-2022,existing.3-6,Solar,Chongqing,20,True,False,False,.,0.0,0,0.0,0.02,0.0,150.0,0,0.0,True
Chongqing-Wind-2022,existing.3-7,Wind,Chongqing,30,True,False,False,.,2.8,0,0.02,0.02,0.0,1820.0,0,0.0,False
East_Inner_Mongolia-Central_PV-2022,existing.4-1,Solar,East_Inner_Mongolia,20,True,False,False,.,0.0,0,0.0,0.02,0.0,7150.0,0,0.0,False
East_Inner_Mongolia-Coal-2022,existing.4-2,Coal,East_Inner_Mongolia,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,51025.0,0,0.0,False
East_Inner_Mongolia-Gas-2022,existing.4-3,Gas,East_Inner_Mongolia,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,210.0,0,0.0,False
East_Inner_Mongolia-Hydro_Nonpumped-2022,existing.4-4,Water,East_Inner_Mongolia,100,False,False,False,.,0.0,0,0.09,0.05,0.0,1205.0,0,0.0,False
East_Inner_Mongolia-PV-2022,existing.4-6,Solar,East_Inner_Mongolia,20,True,False,False,.,0.0,0,0.0,0.02,0.0,605.0,0,0.0,True
East_Inner_Mongolia-Wind-2022,existing.4-7,Wind,East_Inner_Mongolia,30,True,False,False,.,2.8,0,0.02,0.02,0.0,22740.0,0,0.0,False
Fujian-Central_PV-2022,existing.5-1,Solar,Fujian,20,True,False,False,.,0.0,0,0.0,0.02,0.0,390.0,0,0.0,False
Fujian-Coal-2022,existing.5-2,Coal,Fujian,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,29900.0,0,0.0,False
Fujian-Gas-2022,existing.5-3,Gas,Fujian,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,3930.0,0,0.0,False
Fujian-Hydro_Nonpumped-2022,existing.5-4,Water,Fujian,100,False,False,False,.,0.0,0,0.09,0.05,0.0,15380.0,0,0.0,False
Fujian-Nuclear-2022,existing.5-5,Uranium,Fujian,40,False,True,False,10.4,3.0,0,0.11,0.03,0.5,11010.0,0,0.0,False
Fujian-PV-2022,existing.5-6,Solar,Fujian,20,True,False,False,.,0.0,0,0.0,0.02,0.0,4260.0,0,0.0,True
Fujian-Wind-2022,existing.5-7,Wind,Fujian,30,True,False,False,.,2.8,0,0.02,0.02,0.0,7420.0,0,0.0,False
Gansu-Central_PV-2022,existing.6-1,Solar,Gansu,20,True,False,False,.,0.0,0,0.0,0.02,0.0,13110.0,0,0.0,False
Gansu-Coal-2022,existing.6-2,Coal,Gansu,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,22590.0,0,0.0,False
Gansu-Hydro_Nonpumped-2022,existing.6-4,Water,Gansu,100,False,False,False,.,0.0,0,0.09,0.05,0.0,9720.0,0,0.0,False
Gansu-PV-2022,existing.6-6,Solar,Gansu,20,True,False,False,.,0.0,0,0.0,0.02,0.0,860.0,0,0.0,True
Gansu-Wind-2022,existing.6-7,Wind,Gansu,30,True,False,False,.,2.8,0,0.02,0.02,0.0,20730.0,0,0.0,False
Guangdong-Central_PV-2022,existing.7-1,Solar,Guangdong,20,True,False,False,.,0.0,0,0.0,0.02,0.0,7530.0,0,0.0,False
Guangdong-Coal-2022,existing.7-2,Coal,Guangdong,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,68950.0,0,0.0,False
Guangdong-Gas-2022,existing.7-3,Gas,Guangdong,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,34550.0,0,0.0,False
Guangdong-Hydro_Nonpumped-2022,existing.7-4,Water,Guangdong,100,False,False,False,.,0.0,0,0.09,0.05,0.0,19060.0,0,0.0,False
Guangdong-Nuclear-2022,existing.7-5,Uranium,Guangdong,40,False,True,False,10.4,3.0,0,0.11,0.03,0.5,16140.0,0,0.0,False
Guangdong-PV-2022,existing.7-6,Solar,Guangdong,20,True,False,False,.,0.0,0,0.0,0.02,0.0,8370.0,0,0.0,True
Guangdong-Wind-2022,existing.7-7,Wind,Guangdong,30,True,False,False,.,2.8,0,0.02,0.02,0.0,13570.0,0,0.0,False
Guangxi-Central_PV-2022,existing.8-1,Solar,Guangxi,20,True,False,False,.,0.0,0,0.0,0.02,0.0,4370.0,0,0.0,False
Guangxi-Coal-2022,existing.8-2,Coal,Guangxi,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,22070.0,0,0.0,False
Guangxi-Gas-2022,existing.8-3,Gas,Guangxi,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,540.0,0,0.0,False
Guangxi-Hydro_Nonpumped-2022,existing.8-4,Water,Guangxi,100,False,False,False,.,0.0,0,0.09,0.05,0.0,18130.0,0,0.0,False
Guangxi-Nuclear-2022,existing.8-5,Uranium,Guangxi,40,False,True,False,10.4,3.0,0,0.11,0.03,0.5,3360.0,0,0.0,False
Guangxi-PV-2022,existing.8-6,Solar,Guangxi,20,True,False,False,.,0.0,0,0.0,0.02,0.0,830.0,0,0.0,True
Guangxi-Wind-2022,existing.8-7,Wind,Guangxi,30,True,False,False,.,2.8,0,0.02,0.02,0.0,9460.0,0,0.0,False
Guizhou-Central_PV-2022,existing.9-1,Solar,Guizhou,20,True,False,False,.,0.0,0,0.0,0.02,0.0,13970.0,0,0.0,False
Guizhou-Coal-2022,existing.9-2,Coal,Guizhou,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,33650.0,0,0.0,False
Guizhou-Gas-2022,existing.9-3,Gas,Guizhou,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,710.0,0,0.0,False
Guizhou-Hydro_Nonpumped-2022,existing.9-4,Water,Guizhou,100,False,False,False,.,0.0,0,0.09,0.05,0.0,22820.0,0,0.0,False
Guizhou-PV-2022,existing.9-6,Solar,Guizhou,20,True,False,False,.,0.0,0,0.0,0.02,0.0,240.0,0,0.0,True
Guizhou-Wind-2022,existing.9-7,Wind,Guizhou,30,True,False,False,.,2.8,0,0.02,0.02,0.0,5920.0,0,0.0,False
Hainan-Central_PV-2022,existing.10-1,Solar,Hainan,20,True,False,False,.,0.0,0,0.0,0.02,0.0,2000.0,0,0.0,False
Hainan-Coal-2022,existing.10-2,Coal,Hainan,35,False,False,True,7.93,3.0,0,0.34,0.05,0.42,3240.0,0,0.0,False
Hainan-Gas-2022,existing.10-3,Gas,Hainan,20,False,False,True,9.76,1.7,0,0.65,0.02,0.2,3570.0,0,0.0,False
Hainan-Hydro_Nonpumped-2022,existing.10-4,Water,Hainan,100,False,False,False,.,0.0,0,0.09,0.05,0.0,1530.0,0,0.0,False
Hainan-Nuclear-2022,existing.10-5,Uranium,Hainan,40,False,True,False,10.4,3.0,0,0.11,0.03,0.5,1300.0,0,0.0,False
Hainan-PV-2022,existing.10-6,Solar,Hainan,20,True,False,False,.,0.0,0,0.0,0.02,0.0,460.0,0,0.0,True
Hainan-Wind-2022,existing.10-7,Wind,Hainan,30,True,False,False,.,2.8,0,0.02,0.02,0.0,290.0,0,0.0,False
Hebei-Central_PV-2022,existing.11-1,Solar,Hebei,20,True,False,False,.,0.0,0,0.0,0.02,0.0,19940.0,0,0.0,False
