,timeseries,hydro_min_flow_mw,hydro_avg_flow_mw
Anhui-Hydro_Nonpumped-2022,2025.01.22,245.22381665309925,490.44763330620026
Anhui-Hydro_Nonpumped-2022,2025.02.08,325.6878884048731,651.3757768097479
Anhui-Hydro_Nonpumped-2022,2025.03.21,520.462016946079,1040.9240338921538
Anhui-Hydro_Nonpumped-2022,2025.04.11,600.2874748824777,1200.5749497649597
Anhui-Hydro_Nonpumped-2022,2025.05.22,887.6591397524192,1775.3182795048383
Anhui-Hydro_Nonpumped-2022,2025.06.16,1334.681720495162,2669.363440990324
Anhui-Hydro_Nonpumped-2022,2025.07.22,2948.2799999999997,5896.5599999999995
Anhui-Hydro_Nonpumped-2022,2025.08.19,1973.2854189125746,3946.570837825153
Anhui-Hydro_Nonpumped-2022,2025.09.20,1095.2053350438903,2190.4106700877805
Anhui-Hydro_Nonpumped-2022,2025.10.26,731.2012347461465,1462.4024694922975
Anhui-Hydro_Nonpumped-2022,2025.11.19,507.68993855374356,1015.3798771074871
Anhui-Hydro_Nonpumped-2022,2025.12.16,310.6806965849336,621.3613931698691
Beijing-Hydro_Nonpumped-2022,2025.01.22,64.1973686684481,128.3947373368962
Beijing-Hydro_Nonpumped-2022,2025.02.08,58.15789459013857,116.31578918027714
Beijing-Hydro_Nonpumped-2022,2025.03.21,52.938596435658596,105.87719287131719
Beijing-Hydro_Nonpumped-2022,2025.04.11,45.631578715310006,91.2631574306204
Beijing-Hydro_Nonpumped-2022,2025.05.22,41.15789545168818,82.31579090337635
Beijing-Hydro_Nonpumped-2022,2025.06.16,67.5526318763554,135.1052637527108
Beijing-Hydro_Nonpumped-2022,2025.07.22,201.31578943367407,402.63157886734894
Beijing-Hydro_Nonpumped-2022,2025.08.19,483.47999999999996,966.9599999999999
Beijing-Hydro_Nonpumped-2022,2025.09.20,202.8070176950087,405.6140353900189
Beijing-Hydro_Nonpumped-2022,2025.10.26,118.55263081208825,237.1052616241765
Beijing-Hydro_Nonpumped-2022,2025.11.19,87.23684188520804,174.4736837704157
Beijing-Hydro_Nonpumped-2022,2025.12.16,70.83333405129127,141.66666810258255
Chongqing-Hydro_Nonpumped-2022,2025.01.22,560.1293107715304,1120.258621543065
Chongqing-Hydro_Nonpumped-2022,2025.02.08,499.08333828310623,998.1666765662085
Chongqing-Hydro_Nonpumped-2022,2025.03.21,525.8721367736943,1051.7442735473921
Chongqing-Hydro_Nonpumped-2022,2025.04.11,729.4669446674949,1458.9338893349898
Chongqing-Hydro_Nonpumped-2022,2025.05.22,1220.7571869909834,2441.514373981971
Chongqing-Hydro_Nonpumped-2022,2025.06.16,2242.952592340772,4485.905184681529
Chongqing-Hydro_Nonpumped-2022,2025.07.22,3749.3399999999997,7498.679999999999
Chongqing-Hydro_Nonpumped-2022,2025.08.19,3749.3399999999997,7498.679999999999
Chongqing-Hydro_Nonpumped-2022,2025.09.20,3587.750003712328,7175.500007424671
Chongqing-Hydro_Nonpumped-2022,2025.10.26,2437.4554657759813,4874.910931551963
Chongqing-Hydro_Nonpumped-2022,2025.11.19,1278.068971725791,2556.137943451582
Chongqing-Hydro_Nonpumped-2022,2025.12.16,761.4511404644933,1522.9022809289904
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.01.22,158.6872645278245,317.37452905564936
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.02.08,148.15074767790338,296.30149535580637
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.03.21,156.58604949689467,313.1720989937897
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.04.11,234.33093394431893,468.66186788863644
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.05.22,353.7955544461864,707.5911088923762
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.06.16,427.3380088317513,854.6760176635061
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.07.22,571.17,1142.34
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.08.19,567.479786035906,1134.9595720718087
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.09.20,571.17,1142.34
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.10.26,493.90687308519006,987.8137461703801
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.11.19,297.03234909050417,594.064698181009
East_Inner_Mongolia-Hydro_Nonpumped-2022,2025.12.16,185.6376035402776,371.2752070805539
Fujian-Hydro_Nonpumped-2022,2025.01.22,607.4780412002763,1214.9560824005525
Fujian-Hydro_Nonpumped-2022,2025.02.08,806.5980748097766,1613.1961496195556
Fujian-Hydro_Nonpumped-2022,2025.03.21,1286.5907179304513,2573.1814358608976
Fujian-Hydro_Nonpumped-2022,2025.04.11,1485.7107515399475,2971.421503079908
Fujian-Hydro_Nonpumped-2022,2025.05.22,2190.320513643609,4380.641027287218
Fujian-Hydro_Nonpumped-2022,2025.06.16,3298.026963556826,6596.053927113652
Fujian-Hydro_Nonpumped-2022,2025.07.22,7290.12,14580.24
Fujian-Hydro_Nonpumped-2022,2025.08.19,4876.417572175912,9752.835144351837
Fujian-Hydro_Nonpumped-2022,2025.09.20,2711.9988430964477,5423.997686192908
Fujian-Hydro_Nonpumped-2022,2025.10.26,1807.8643194048104,3615.728638809608
Fujian-Hydro_Nonpumped-2022,2025.11.19,1256.2370407542335,2512.474081508472
Fujian-Hydro_Nonpumped-2022,2025.12.16,770.5783786616728,1541.1567573233506
