load_zone,TIMEPOINT,zone_demand_mw
Anhui,2025.01.22.00,53372.6874432234
Beijing,2025.01.22.00,27642.6117902156
Chongqing,2025.01.22.00,33156.680481385
East_Inner_Mongolia,2025.01.22.00,20543.927949137
Fujian,2025.01.22.00,52778.7253450464
Gansu,2025.01.22.00,37738.326437898
Guangdong,2025.01.22.00,127360.699017044
Guangxi,2025.01.22.00,44060.8810098948
Guizhou,2025.01.22.00,36957.1978161214
Hainan,2025.01.22.00,8500.56896319154
Hebei,2025.01.22.00,150462.8184936562
Heilongjiang,2025.01.22.00,29321.9550355744
Henan,2025.01.22.00,122593.6199575078
Hubei,2025.01.22.00,68357.8277382026
Hunan,2025.01.22.00,66663.610879125
Jiangsu,2025.01.22.00,163276.3422721632
Jiangxi,2025.01.22.00,30663.3491035916
Jilin,2025.01.22.00,25230.5127754364
Liaoning,2025.01.22.00,85092.445363493
Ningxia,2025.01.22.00,26577.6336924674
Qinghai,2025.01.22.00,20047.3894053158
Shaanxi,2025.01.22.00,47356.557017186
Shandong,2025.01.22.00,153990.145569529
Shanghai,2025.01.22.00,51624.8520519798
Shanxi,2025.01.22.00,78833.1276779578
Sichuan,2025.01.22.00,70516.994461676
Tianjin,2025.01.22.00,27235.8479481354
Tibet,2025.01.22.00,1475.36407073772
West_Inner_Mongolia,2025.01.22.00,59298.6739863434
Xinjiang,2025.01.22.00,41801.4319950894
Yunnan,2025.01.22.00,42419.0941568024
Zhejiang,2025.01.22.00,106805.4896402374
Anhui,2025.01.22.04,45772.1380671418
Beijing,2025.01.22.04,24141.6999166202
Chongqing,2025.01.22.04,26741.7270755504
East_Inner_Mongolia,2025.01.22.04,19831.77099883906
Fujian,2025.01.22.04,47880.5573518252
Gansu,2025.01.22.04,35876.6535798342
Guangdong,2025.01.22.04,110888.9450376522
Guangxi,2025.01.22.04,37531.1740164438
Guizhou,2025.01.22.04,32436.3485102466
Hainan,2025.01.22.04,7040.10422879046
Hebei,2025.01.22.04,131040.0357862822
Heilongjiang,2025.01.22.04,28140.5760353694
Henan,2025.01.22.04,110158.658759602
Hubei,2025.01.22.04,61669.2781117132
Hunan,2025.01.22.04,51122.6411743322
Jiangsu,2025.01.22.04,150162.7134689684
Jiangxi,2025.01.22.04,27595.2816709968
Jilin,2025.01.22.04,23813.594550345
Liaoning,2025.01.22.04,78937.794577991
Ningxia,2025.01.22.04,25626.1121472346
Qinghai,2025.01.22.04,19733.4877560072
Shaanxi,2025.01.22.04,39751.443396423
Shandong,2025.01.22.04,140679.4521926238
Shanghai,2025.01.22.04,44951.205043186
Shanxi,2025.01.22.04,74703.8944195208
Sichuan,2025.01.22.04,58651.0425359242
Tianjin,2025.01.22.04,25915.6521081138
Tibet,2025.01.22.04,1250.957717194462
West_Inner_Mongolia,2025.01.22.04,57469.6332334236
Xinjiang,2025.01.22.04,39578.2237215234
Yunnan,2025.01.22.04,38719.832931924
Zhejiang,2025.01.22.04,93199.8409342544
Anhui,2025.01.22.08,48161.8621023634
Beijing,2025.01.22.08,32732.1518549022
Chongqing,2025.01.22.08,27727.9922428656
East_Inner_Mongolia,2025.01.22.08,22748.6250147116
Fujian,2025.01.22.08,49901.3186902192
Gansu,2025.01.22.08,39088.0237697704
Guangdong,2025.01.22.08,122079.5457494284
Guangxi,2025.01.22.08,42572.7788831638
Guizhou,2025.01.22.08,42956.4318295966
Hainan,2025.01.22.08,7452.78230498314
Hebei,2025.01.22.08,153424.0250528732
Heilongjiang,2025.01.22.08,36540.3304988012
Henan,2025.01.22.08,113829.8150841254
Hubei,2025.01.22.08,61977.584351942
Hunan,2025.01.22.08,54809.7379027276
Jiangsu,2025.01.22.08,164718.1508355636
Jiangxi,2025.01.22.08,27624.3809846558
Jilin,2025.01.22.08,30435.752745844
Liaoning,2025.01.22.08,85182.343011075
Ningxia,2025.01.22.08,25746.2408372526
Qinghai,2025.01.22.08,20154.8444848344
Shaanxi,2025.01.22.08,42923.5545669792
Shandong,2025.01.22.08,153596.3955980344
Shanghai,2025.01.22.08,56292.9264806506
Shanxi,2025.01.22.08,79218.498586544
Sichuan,2025.01.22.08,60825.9066033518
Tianjin,2025.01.22.08,35136.1032731784
Tibet,2025.01.22.08,1518.267972051412
West_Inner_Mongolia,2025.01.22.08,59469.4813301588
Xinjiang,2025.01.22.08,40539.5025526944
Yunnan,2025.01.22.08,46439.8722094248
Zhejiang,2025.01.22.08,117627.9531730712
Anhui,2025.01.22.12,56916.7214656874
Beijing,2025.01.22.12,40944.2498273966
Chongqing,2025.01.22.12,34755.6761997216
East_Inner_Mongolia,2025.01.22.12,23878.2894264838
Fujian,2025.01.22.12,59633.9418486954
Gansu,2025.01.22.12,41546.001982651
Guangdong,2025.01.22.12,142262.9603347632
Guangxi,2025.01.22.12,51645.9773155418
Guizhou,2025.01.22.12,49385.63922426
Hainan,2025.01.22.12,8111.68481854876
Hebei,2025.01.22.12,192258.7458743684
Heilongjiang,2025.01.22.12,37668.0187244552
