GENERATION_PROJECT,build_year,build_str_energy_predetermined,gen_can_retire_early
AnhuiBattery_Storage-11177-1-1,2022,455.5408,0
AnhuiBattery_Storage-11177-2-1,2022,364.43264,0
AnhuiBattery_Storage-11177-3-1,2022,121.22656,0
ChongqingBattery_Storage-11177-1-3,2022,295.7875591,0
ChongqingBattery_Storage-11177-2-3,2022,236.6300473,0
ChongqingBattery_Storage-11177-3-3,2022,78.71371408,0
FujianBattery_Storage-11177-1-4,2022,48.6904,0
FujianBattery_Storage-11177-2-4,2022,38.95232,0
FujianBattery_Storage-11177-3-4,2022,12.95728,0
GansuBattery_Storage-11177-1-5,2022,606.3552,0
GansuBattery_Storage-11177-2-5,2022,485.08416,0
GansuBattery_Storage-11177-3-5,2022,161.36064,0
GuangdongBattery_Storage-11177-1-6,2022,1185.1224,0
GuangdongBattery_Storage-11177-2-6,2022,948.09792,0
GuangdongBattery_Storage-11177-3-6,2022,315.37968,0
GuangxiBattery_Storage-11177-1-7,2022,366.2131684,0
GuangxiBattery_Storage-11177-2-7,2022,292.9705347,0
GuangxiBattery_Storage-11177-3-7,2022,97.45507457,0
GuizhouBattery_Storage-11177-1-8,2022,686.6496908,0
GuizhouBattery_Storage-11177-2-8,2022,549.3197526,0
GuizhouBattery_Storage-11177-3-8,2022,182.7282648,0
HebeiBattery_Storage-11177-1-10,2022,186.2757366,0
HebeiBattery_Storage-11177-2-10,2022,149.0205893,0
HebeiBattery_Storage-11177-3-10,2022,49.57089851,0
HubeiBattery_Storage-11177-1-13,2022,2753.6696,0
HubeiBattery_Storage-11177-2-13,2022,2202.93568,0
HubeiBattery_Storage-11177-3-13,2022,732.79472,0
HunanBattery_Storage-11177-1-14,2022,828.7048,0
HunanBattery_Storage-11177-2-14,2022,662.96384,0
HunanBattery_Storage-11177-3-14,2022,220.53136,0
JiangsuBattery_Storage-11177-1-15,2022,1313.8664,0
JiangsuBattery_Storage-11177-2-15,2022,1051.09312,0
JiangsuBattery_Storage-11177-3-15,2022,349.64048,0
JiangxiBattery_Storage-11177-1-16,2022,160.8816,0
JiangxiBattery_Storage-11177-2-16,2022,128.70528,0
JiangxiBattery_Storage-11177-3-16,2022,42.81312,0
NingxiaBattery_Storage-11177-1-19,2022,1217.3568,0
NingxiaBattery_Storage-11177-2-19,2022,973.88544,0
NingxiaBattery_Storage-11177-3-19,2022,323.95776,0
QinghaiBattery_Storage-11177-1-20,2022,542.1768,0
QinghaiBattery_Storage-11177-2-20,2022,433.74144,0
QinghaiBattery_Storage-11177-3-20,2022,144.28176,0
ShandongBattery_Storage-11177-1-22,2022,1371.0752,0
ShandongBattery_Storage-11177-2-22,2022,1096.86016,0
ShandongBattery_Storage-11177-3-22,2022,364.86464,0
ShanxiBattery_Storage-11177-1-24,2022,192.632,0
ShanxiBattery_Storage-11177-2-24,2022,154.1056,0
ShanxiBattery_Storage-11177-3-24,2022,51.2624,0
West_Inner_MongoliaBattery_Storage-11177-1-28,2022,1218.4216,0
West_Inner_MongoliaBattery_Storage-11177-2-28,2022,974.73728,0
West_Inner_MongoliaBattery_Storage-11177-3-28,2022,324.24112,0
XinjiangBattery_Storage-11177-1-29,2022,687.3768,0
XinjiangBattery_Storage-11177-2-29,2022,549.90144,0
XinjiangBattery_Storage-11177-3-29,2022,182.92176,0
ZhejiangBattery_Storage-11177-1-31,2022,314.6,0
ZhejiangBattery_Storage-11177-2-31,2022,251.68,0
ZhejiangBattery_Storage-11177-3-31,2022,83.72,0
