GENERATION_PROJECT,timepoint,gen_max_capacity_factor
Anhui-Central_PV-2022,2025.01.22.00,0.0
Anhui-Central_PV-2022,2025.01.22.04,0.0
Anhui-Central_PV-2022,2025.01.22.08,0.030457208333333333
Anhui-Central_PV-2022,2025.01.22.12,0.15386
Anhui-Central_PV-2022,2025.01.22.16,0.07447428333333334
Anhui-Central_PV-2022,2025.01.22.20,0.0
Anhui-Central_PV-2022,2025.02.08.00,0.0
Anhui-Central_PV-2022,2025.02.08.04,0.0
Anhui-Central_PV-2022,2025.02.08.08,0.033415016666666665
Anhui-Central_PV-2022,2025.02.08.12,0.12250609166666666
Anhui-Central_PV-2022,2025.02.08.16,0.10424813333333333
Anhui-Central_PV-2022,2025.02.08.20,0.0
Anhui-Central_PV-2022,2025.03.21.00,0.0
Anhui-Central_PV-2022,2025.03.21.04,0.0
Anhui-Central_PV-2022,2025.03.21.08,0.08008029166666666
Anhui-Central_PV-2022,2025.03.21.12,0.23826403333333335
Anhui-Central_PV-2022,2025.03.21.16,0.05706719166666666
Anhui-Central_PV-2022,2025.03.21.20,0.0
Anhui-Central_PV-2022,2025.04.11.00,0.0
Anhui-Central_PV-2022,2025.04.11.04,0.0
Anhui-Central_PV-2022,2025.04.11.08,0.05734450833333333
Anhui-Central_PV-2022,2025.04.11.12,0.10933605
Anhui-Central_PV-2022,2025.04.11.16,0.07175769166666666
Anhui-Central_PV-2022,2025.04.11.20,0.0
Anhui-Central_PV-2022,2025.05.22.00,0.0
Anhui-Central_PV-2022,2025.05.22.04,0.0
Anhui-Central_PV-2022,2025.05.22.08,0.4563629166666667
Anhui-Central_PV-2022,2025.05.22.12,0.6215049166666666
Anhui-Central_PV-2022,2025.05.22.16,0.28701516666666665
Anhui-Central_PV-2022,2025.05.22.20,0.0
Anhui-Central_PV-2022,2025.06.16.00,0.0
Anhui-Central_PV-2022,2025.06.16.04,0.0
Anhui-Central_PV-2022,2025.06.16.08,0.6378749166666666
Anhui-Central_PV-2022,2025.06.16.12,0.64774
Anhui-Central_PV-2022,2025.06.16.16,0.42868900000000004
Anhui-Central_PV-2022,2025.06.16.20,0.0
Anhui-Central_PV-2022,2025.07.22.00,0.0
Anhui-Central_PV-2022,2025.07.22.04,0.0
Anhui-Central_PV-2022,2025.07.22.08,0.28099691666666665
Anhui-Central_PV-2022,2025.07.22.12,0.5378789166666667
Anhui-Central_PV-2022,2025.07.22.16,0.3958311666666667
Anhui-Central_PV-2022,2025.07.22.20,0.0
Anhui-Central_PV-2022,2025.08.19.00,0.0
Anhui-Central_PV-2022,2025.08.19.04,0.0
Anhui-Central_PV-2022,2025.08.19.08,0.09241370833333333
Anhui-Central_PV-2022,2025.08.19.12,0.2848880833333333
Anhui-Central_PV-2022,2025.08.19.16,0.0905469
Anhui-Central_PV-2022,2025.08.19.20,0.0
Anhui-Central_PV-2022,2025.09.20.00,0.0
Anhui-Central_PV-2022,2025.09.20.04,0.0
Anhui-Central_PV-2022,2025.09.20.08,0.431973975
Anhui-Central_PV-2022,2025.09.20.12,0.6303601666666667
Anhui-Central_PV-2022,2025.09.20.16,0.290821
Anhui-Central_PV-2022,2025.09.20.20,0.0
Anhui-Central_PV-2022,2025.10.26.00,0.0
Anhui-Central_PV-2022,2025.10.26.04,0.0
Anhui-Central_PV-2022,2025.10.26.08,0.4482758333333334
Anhui-Central_PV-2022,2025.10.26.12,0.5668579166666666
Anhui-Central_PV-2022,2025.10.26.16,0.17824016666666667
Anhui-Central_PV-2022,2025.10.26.20,0.0
Anhui-Central_PV-2022,2025.11.19.00,0.0
Anhui-Central_PV-2022,2025.11.19.04,0.0
Anhui-Central_PV-2022,2025.11.19.08,0.058180616666666664
Anhui-Central_PV-2022,2025.11.19.12,0.17683301666666665
Anhui-Central_PV-2022,2025.11.19.16,0.014398308333333332
