GEN_BLD_YRS_1,GEN_BLD_YRS_2,BuildGen
Anhui-Central_PV-2022,2022,10640.0
Anhui-Coal-2022,2022,53780.0
Anhui-Gas-2022,2022,310.0
Anhui-Hydro_Nonpumped-2022,2022,6220.0
Anhui-PV-2022,2022,10900.0
Anhui-Wind-2022,2022,5900.0
Beijing-Central_PV-2022,2022,50.0
Beijing-Coal-2022,2022,770.0
Beijing-Gas-2022,2022,10010.0
Beijing-Hydro_Nonpumped-2022,2022,1020.0
Beijing-PV-2022,2022,900.0
Beijing-Wind-2022,2022,240.0
Chongqing-Central_PV-2022,2022,540.0
Chongqing-Coal-2022,2022,13930.0
Chongqing-Gas-2022,2022,1410.0
Chongqing-Hydro_Nonpumped-2022,2022,7910.0
Chongqing-PV-2022,2022,150.0
Chongqing-Wind-2022,2022,1820.0
East_Inner_Mongolia-Central_PV-2022,2022,7150.0
East_Inner_Mongolia-Coal-2022,2022,51025.0
East_Inner_Mongolia-Gas-2022,2022,210.0
East_Inner_Mongolia-Hydro_Nonpumped-2022,2022,1205.0
East_Inner_Mongolia-PV-2022,2022,605.0
East_Inner_Mongolia-Wind-2022,2022,22740.0
Fujian-Central_PV-2022,2022,390.0
Fujian-Coal-2022,2022,29900.0
Fujian-Gas-2022,2022,3930.0
Fujian-Hydro_Nonpumped-2022,2022,15380.0
Fujian-Nuclear-2022,2022,11010.0
Fujian-PV-2022,2022,4260.0
Fujian-Wind-2022,2022,7420.0
Gansu-Central_PV-2022,2022,13110.0
Gansu-Coal-2022,2022,22590.0
Gansu-Hydro_Nonpumped-2022,2022,9720.0
Gansu-PV-2022,2022,860.0
Gansu-Wind-2022,2022,20730.0
Guangdong-Central_PV-2022,2022,7530.0
Guangdong-Coal-2022,2022,68950.0
Guangdong-Gas-2022,2022,34550.0
Guangdong-Hydro_Nonpumped-2022,2022,19060.0
Guangdong-Nuclear-2022,2022,16140.0
Guangdong-PV-2022,2022,8370.0
Guangdong-Wind-2022,2022,13570.0
Guangxi-Central_PV-2022,2022,4370.0
Guangxi-Coal-2022,2022,22070.0
Guangxi-Gas-2022,2022,540.0
Guangxi-Hydro_Nonpumped-2022,2022,18130.0
Guangxi-Nuclear-2022,2022,3360.0
Guangxi-PV-2022,2022,830.0
Guangxi-Wind-2022,2022,9460.0
Guizhou-Central_PV-2022,2022,13970.0
Guizhou-Coal-2022,2022,33650.0
Guizhou-Gas-2022,2022,710.0
Guizhou-Hydro_Nonpumped-2022,2022,22820.0
Guizhou-PV-2022,2022,240.0
Guizhou-Wind-2022,2022,5920.0
Hainan-Central_PV-2022,2022,2000.0
Hainan-Coal-2022,2022,3240.0
Hainan-Gas-2022,2022,3570.0
Hainan-Hydro_Nonpumped-2022,2022,1530.0
Hainan-Nuclear-2022,2022,1300.0
Hainan-PV-2022,2022,460.0
Hainan-Wind-2022,2022,290.0
Hebei-Central_PV-2022,2022,19940.0
Hebei-Coal-2022,2022,48350.0
Hebei-Gas-2022,2022,940.0
Hebei-Hydro_Nonpumped-2022,2022,3930.0
Hebei-PV-2022,2022,18610.0
Hebei-Wind-2022,2022,27970.0
