STA_BLD_YRS_1,STA_BLD_YRS_2,BuildStation
Chongqing-Ev,2023,92110.0
Henan-Ev,2023,1.0
Hubei-Ev,2023,1.0
Hunan-Ev,2023,120998.0
Jiangxi-Ev,2023,1.0
Sichuan-Ev,2023,33808.00000000003
Anhui-Ev,2023,1.0
Fujian-Ev,2023,1.0
Jiangsu-Ev,2023,326624.0
Shanghai-Ev,2023,332781.0
Zhejiang-Ev,2023,332351.0
Beijing-Ev,2023,35630.0
Hebei-Ev,2023,145695.0
Shandong-Ev,2023,1.0
Shanxi-Ev,2023,1.0
Tianjin-Ev,2023,30446.0
West_Inner_Mongolia-Ev,2023,1.0
East_Inner_Mongolia-Ev,2023,1413.0
Heilongjiang-Ev,2023,3445.0
Jilin-Ev,2023,5309.0
Liaoning-Ev,2023,42707.0
Gansu-Ev,2023,11951.0
Ningxia-Ev,2023,1.0
Qinghai-Ev,2023,2216.0
Shaanxi-Ev,2023,1.0
Xinjiang-Ev,2023,1.0
Guangdong-Ev,2023,1.0
Guangxi-Ev,2023,42088.000000000015
Guizhou-Ev,2023,57495.0
Hainan-Ev,2023,10625.0
Yunnan-Ev,2023,38908.0
Tibet-Ev,2023,2252.0
