GENERATION_PROJECT,timepoints,dispatch_slack_up
Anhui-Central_PV-2022,2025.01.22.00,0
Anhui-Central_PV-2022,2025.01.22.04,0
Anhui-Central_PV-2022,2025.01.22.08,0
Anhui-Central_PV-2022,2025.01.22.12,0
Anhui-Central_PV-2022,2025.01.22.16,0
Anhui-Central_PV-2022,2025.01.22.20,0
Anhui-Central_PV-2022,2025.02.08.00,0
Anhui-Central_PV-2022,2025.02.08.04,0
Anhui-Central_PV-2022,2025.02.08.08,0
Anhui-Central_PV-2022,2025.02.08.12,0
Anhui-Central_PV-2022,2025.02.08.16,0
Anhui-Central_PV-2022,2025.02.08.20,0
Anhui-Central_PV-2022,2025.03.21.00,0
Anhui-Central_PV-2022,2025.03.21.04,0
Anhui-Central_PV-2022,2025.03.21.08,0
Anhui-Central_PV-2022,2025.03.21.12,0
Anhui-Central_PV-2022,2025.03.21.16,0
Anhui-Central_PV-2022,2025.03.21.20,0
Anhui-Central_PV-2022,2025.04.11.00,0
Anhui-Central_PV-2022,2025.04.11.04,0
Anhui-Central_PV-2022,2025.04.11.08,0
Anhui-Central_PV-2022,2025.04.11.12,0
Anhui-Central_PV-2022,2025.04.11.16,0
Anhui-Central_PV-2022,2025.04.11.20,0
Anhui-Central_PV-2022,2025.05.22.00,0
Anhui-Central_PV-2022,2025.05.22.04,0
Anhui-Central_PV-2022,2025.05.22.08,0
Anhui-Central_PV-2022,2025.05.22.12,0
Anhui-Central_PV-2022,2025.05.22.16,0
Anhui-Central_PV-2022,2025.05.22.20,0
Anhui-Central_PV-2022,2025.06.16.00,0
Anhui-Central_PV-2022,2025.06.16.04,0
Anhui-Central_PV-2022,2025.06.16.08,0
Anhui-Central_PV-2022,2025.06.16.12,0
Anhui-Central_PV-2022,2025.06.16.16,0
Anhui-Central_PV-2022,2025.06.16.20,0
Anhui-Central_PV-2022,2025.07.22.00,0
Anhui-Central_PV-2022,2025.07.22.04,0
Anhui-Central_PV-2022,2025.07.22.08,0
Anhui-Central_PV-2022,2025.07.22.12,0
Anhui-Central_PV-2022,2025.07.22.16,0
Anhui-Central_PV-2022,2025.07.22.20,0
Anhui-Central_PV-2022,2025.08.19.00,0
Anhui-Central_PV-2022,2025.08.19.04,0
Anhui-Central_PV-2022,2025.08.19.08,0
Anhui-Central_PV-2022,2025.08.19.12,0
Anhui-Central_PV-2022,2025.08.19.16,0
Anhui-Central_PV-2022,2025.08.19.20,0
Anhui-Central_PV-2022,2025.09.20.00,0
Anhui-Central_PV-2022,2025.09.20.04,0
Anhui-Central_PV-2022,2025.09.20.08,0
Anhui-Central_PV-2022,2025.09.20.12,0
Anhui-Central_PV-2022,2025.09.20.16,0
Anhui-Central_PV-2022,2025.09.20.20,0
Anhui-Central_PV-2022,2025.10.26.00,0
Anhui-Central_PV-2022,2025.10.26.04,0
Anhui-Central_PV-2022,2025.10.26.08,0
Anhui-Central_PV-2022,2025.10.26.12,0
Anhui-Central_PV-2022,2025.10.26.16,0
Anhui-Central_PV-2022,2025.10.26.20,0
Anhui-Central_PV-2022,2025.11.19.00,0
Anhui-Central_PV-2022,2025.11.19.04,0
Anhui-Central_PV-2022,2025.11.19.08,0
Anhui-Central_PV-2022,2025.11.19.12,0
Anhui-Central_PV-2022,2025.11.19.16,0
Anhui-Central_PV-2022,2025.11.19.20,0
Anhui-Central_PV-2022,2025.12.16.00,0
Anhui-Central_PV-2022,2025.12.16.04,0
Anhui-Central_PV-2022,2025.12.16.08,0
Anhui-Central_PV-2022,2025.12.16.12,0
Anhui-Central_PV-2022,2025.12.16.16,0
Anhui-Central_PV-2022,2025.12.16.20,0
Anhui-Coal-2022,2025.01.22.00,7713.29
Anhui-Coal-2022,2025.01.22.04,0
Anhui-Coal-2022,2025.01.22.08,9477.75
Anhui-Coal-2022,2025.01.22.12,9875.76
Anhui-Coal-2022,2025.01.22.16,0
Anhui-Coal-2022,2025.01.22.20,1992.99
Anhui-Coal-2022,2025.02.08.00,20329.3
Anhui-Coal-2022,2025.02.08.04,28777.1
Anhui-Coal-2022,2025.02.08.08,0
Anhui-Coal-2022,2025.02.08.12,21930.3
Anhui-Coal-2022,2025.02.08.16,11712.1
Anhui-Coal-2022,2025.02.08.20,0
Anhui-Coal-2022,2025.03.21.00,0
Anhui-Coal-2022,2025.03.21.04,2844.23
Anhui-Coal-2022,2025.03.21.08,19951
Anhui-Coal-2022,2025.03.21.12,0
Anhui-Coal-2022,2025.03.21.16,6224.44
Anhui-Coal-2022,2025.03.21.20,0
Anhui-Coal-2022,2025.04.11.00,0
Anhui-Coal-2022,2025.04.11.04,0
Anhui-Coal-2022,2025.04.11.08,15077.8
Anhui-Coal-2022,2025.04.11.12,0
Anhui-Coal-2022,2025.04.11.16,0
Anhui-Coal-2022,2025.04.11.20,0
Anhui-Coal-2022,2025.05.22.00,27861.6
Anhui-Coal-2022,2025.05.22.04,18874
Anhui-Coal-2022,2025.05.22.08,12785.6
Anhui-Coal-2022,2025.05.22.12,24408.9
Anhui-Coal-2022,2025.05.22.16,23197.4
Anhui-Coal-2022,2025.05.22.20,0
Anhui-Coal-2022,2025.06.16.00,22264.8
Anhui-Coal-2022,2025.06.16.04,26966.4
Anhui-Coal-2022,2025.06.16.08,18267.6
Anhui-Coal-2022,2025.06.16.12,27644.6
Anhui-Coal-2022,2025.06.16.16,17426.4
Anhui-Coal-2022,2025.06.16.20,0
Anhui-Coal-2022,2025.07.22.00,16650.2
Anhui-Coal-2022,2025.07.22.04,26868.4
Anhui-Coal-2022,2025.07.22.08,0
Anhui-Coal-2022,2025.07.22.12,18340.1
Anhui-Coal-2022,2025.07.22.16,0
Anhui-Coal-2022,2025.07.22.20,8228.79
Anhui-Coal-2022,2025.08.19.00,0
Anhui-Coal-2022,2025.08.19.04,11841.4
Anhui-Coal-2022,2025.08.19.08,0
Anhui-Coal-2022,2025.08.19.12,1328.78
Anhui-Coal-2022,2025.08.19.16,0
Anhui-Coal-2022,2025.08.19.20,5175.72
Anhui-Coal-2022,2025.09.20.00,22583.7
Anhui-Coal-2022,2025.09.20.04,26668.2
Anhui-Coal-2022,2025.09.20.08,17043.4
Anhui-Coal-2022,2025.09.20.12,24808.3
Anhui-Coal-2022,2025.09.20.16,0
Anhui-Coal-2022,2025.09.20.20,0
Anhui-Coal-2022,2025.10.26.00,23251
Anhui-Coal-2022,2025.10.26.04,21308.5
Anhui-Coal-2022,2025.10.26.08,18380.9
Anhui-Coal-2022,2025.10.26.12,23776.4
Anhui-Coal-2022,2025.10.26.16,19852.2
Anhui-Coal-2022,2025.10.26.20,0
Anhui-Coal-2022,2025.11.19.00,0
Anhui-Coal-2022,2025.11.19.04,0
Anhui-Coal-2022,2025.11.19.08,0
Anhui-Coal-2022,2025.11.19.12,16517.4
Anhui-Coal-2022,2025.11.19.16,6764.13
Anhui-Coal-2022,2025.11.19.20,0
Anhui-Coal-2022,2025.12.16.00,0
Anhui-Coal-2022,2025.12.16.04,2005.05
Anhui-Coal-2022,2025.12.16.08,19369.6
Anhui-Coal-2022,2025.12.16.12,0
Anhui-Coal-2022,2025.12.16.16,8808.26
Anhui-Coal-2022,2025.12.16.20,3334.94
Anhui-Gas-2022,2025.01.22.00,0
Anhui-Gas-2022,2025.01.22.04,0
Anhui-Gas-2022,2025.01.22.08,0
Anhui-Gas-2022,2025.01.22.12,0
Anhui-Gas-2022,2025.01.22.16,0
Anhui-Gas-2022,2025.01.22.20,0
Anhui-Gas-2022,2025.02.08.00,0
Anhui-Gas-2022,2025.02.08.04,0
Anhui-Gas-2022,2025.02.08.08,0
Anhui-Gas-2022,2025.02.08.12,0
Anhui-Gas-2022,2025.02.08.16,0
Anhui-Gas-2022,2025.02.08.20,0
Anhui-Gas-2022,2025.03.21.00,0
Anhui-Gas-2022,2025.03.21.04,0
Anhui-Gas-2022,2025.03.21.08,0
Anhui-Gas-2022,2025.03.21.12,0
Anhui-Gas-2022,2025.03.21.16,0
Anhui-Gas-2022,2025.03.21.20,0
Anhui-Gas-2022,2025.04.11.00,0
Anhui-Gas-2022,2025.04.11.04,0
Anhui-Gas-2022,2025.04.11.08,0
Anhui-Gas-2022,2025.04.11.12,0
Anhui-Gas-2022,2025.04.11.16,0
Anhui-Gas-2022,2025.04.11.20,0
Anhui-Gas-2022,2025.05.22.00,0
Anhui-Gas-2022,2025.05.22.04,0
Anhui-Gas-2022,2025.05.22.08,0
Anhui-Gas-2022,2025.05.22.12,0
Anhui-Gas-2022,2025.05.22.16,0
Anhui-Gas-2022,2025.05.22.20,0
Anhui-Gas-2022,2025.06.16.00,0
Anhui-Gas-2022,2025.06.16.04,0
Anhui-Gas-2022,2025.06.16.08,0
Anhui-Gas-2022,2025.06.16.12,0
Anhui-Gas-2022,2025.06.16.16,0
Anhui-Gas-2022,2025.06.16.20,0
Anhui-Gas-2022,2025.07.22.00,0
Anhui-Gas-2022,2025.07.22.04,0
Anhui-Gas-2022,2025.07.22.08,0
Anhui-Gas-2022,2025.07.22.12,0
Anhui-Gas-2022,2025.07.22.16,0
Anhui-Gas-2022,2025.07.22.20,0
Anhui-Gas-2022,2025.08.19.00,0
Anhui-Gas-2022,2025.08.19.04,0
