ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,StateOfChargeOfEV
Chongqing-Ev,2025.01.22.00,3868.578
Chongqing-Ev,2025.01.22.04,4111.74576
Chongqing-Ev,2025.01.22.08,3929.3699399999996
Chongqing-Ev,2025.01.22.12,4153.056646499999
Chongqing-Ev,2025.01.22.16,3868.578
Chongqing-Ev,2025.01.22.20,3868.578
Chongqing-Ev,2025.02.08.00,4706.2080350999995
Chongqing-Ev,2025.02.08.04,4956.0076431
Chongqing-Ev,2025.02.08.08,3868.578
Chongqing-Ev,2025.02.08.12,4773.1344345
Chongqing-Ev,2025.02.08.16,4043.6311545
Chongqing-Ev,2025.02.08.20,4043.6311545
Chongqing-Ev,2025.03.21.00,6223.989347999999
Chongqing-Ev,2025.03.21.04,6190.830107999999
Chongqing-Ev,2025.03.21.08,5643.7026479999995
Chongqing-Ev,2025.03.21.12,4962.83292
Chongqing-Ev,2025.03.21.16,3868.578
Chongqing-Ev,2025.03.21.20,6232.831811999999
Chongqing-Ev,2025.04.11.00,5365.165031999999
Chongqing-Ev,2025.04.11.04,5631.544259999999
Chongqing-Ev,2025.04.11.08,4537.289339999999
Chongqing-Ev,2025.04.11.12,4111.74576
Chongqing-Ev,2025.04.11.16,3868.578
Chongqing-Ev,2025.04.11.20,3868.578
Chongqing-Ev,2025.05.22.00,5230.1240271
Chongqing-Ev,2025.05.22.04,5503.1351031
Chongqing-Ev,2025.05.22.08,3868.578
Chongqing-Ev,2025.05.22.12,4602.9170025
Chongqing-Ev,2025.05.22.16,4584.817584
Chongqing-Ev,2025.05.22.20,3868.578
Chongqing-Ev,2025.06.16.00,4533.7799871
Chongqing-Ev,2025.06.16.04,4773.6318231000005
Chongqing-Ev,2025.06.16.08,3868.578
Chongqing-Ev,2025.06.16.12,3868.578
Chongqing-Ev,2025.06.16.16,3868.578
Chongqing-Ev,2025.06.16.20,4569.1498431
Chongqing-Ev,2025.07.22.00,4344.7723191000005
Chongqing-Ev,2025.07.22.04,4591.2560031
Chongqing-Ev,2025.07.22.08,3868.578
Chongqing-Ev,2025.07.22.12,4517.8082865
Chongqing-Ev,2025.07.22.16,4893.616786824862
Chongqing-Ev,2025.07.22.20,7025.597658368949
Chongqing-Ev,2025.08.19.00,11702.4704046
Chongqing-Ev,2025.08.19.04,11942.3222406
Chongqing-Ev,2025.08.19.08,11037.2684175
Chongqing-Ev,2025.08.19.12,11346.063839999999
Chongqing-Ev,2025.08.19.16,3868.578
Chongqing-Ev,2025.08.19.20,8726.5724562
Chongqing-Ev,2025.09.20.00,5599.2968991
Chongqing-Ev,2025.09.20.04,5855.7283551
Chongqing-Ev,2025.09.20.08,4038.795432
Chongqing-Ev,2025.09.20.12,3868.578
Chongqing-Ev,2025.09.20.16,3868.578
Chongqing-Ev,2025.09.20.20,4884.169842003877
Chongqing-Ev,2025.10.26.00,4696.2602631
Chongqing-Ev,2025.10.26.04,4956.0076431
Chongqing-Ev,2025.10.26.08,3868.578
Chongqing-Ev,2025.10.26.12,4432.6995705
Chongqing-Ev,2025.10.26.16,3868.578
Chongqing-Ev,2025.10.26.20,4713.9451911
Chongqing-Ev,2025.11.19.00,4533.7799871
Chongqing-Ev,2025.11.19.04,4773.6318231000005
Chongqing-Ev,2025.11.19.08,3868.578
Chongqing-Ev,2025.11.19.12,4007.1559905000004
Chongqing-Ev,2025.11.19.16,3868.578
Chongqing-Ev,2025.11.19.20,3868.578
Chongqing-Ev,2025.12.16.00,3868.578
Chongqing-Ev,2025.12.16.04,4125.009456
Chongqing-Ev,2025.12.16.08,3942.6336359999996
Chongqing-Ev,2025.12.16.12,4210.1181719999995
Chongqing-Ev,2025.12.16.16,3966.9504119999997
Chongqing-Ev,2025.12.16.20,3877.420464
Henan-Ev,2025.01.22.00,15850.129716300004
Henan-Ev,2025.01.22.04,16666.935332300003
Henan-Ev,2025.01.22.08,11716.474000000002
Henan-Ev,2025.01.22.12,11716.474000000002
Henan-Ev,2025.01.22.16,11987.626684000003
Henan-Ev,2025.01.22.20,11716.474000000002
Henan-Ev,2025.02.08.00,15940.513944300003
Henan-Ev,2025.02.08.04,16666.935332300003
