ZONE_TIMEPOINTS_1,ZONE_TIMEPOINTS_2,WithdrawFromCentralGrid
Chongqing,2025.01.22.00,17512.31008576433
Chongqing,2025.01.22.04,14195.045995538754
Chongqing,2025.01.22.08,14638.781192653432
Chongqing,2025.01.22.12,18595.310177783314
Chongqing,2025.01.22.16,19649.30978197947
Chongqing,2025.01.22.20,17985.40867805793
Chongqing,2025.02.08.00,15573.380471756906
Chongqing,2025.02.08.04,12484.732340764203
Chongqing,2025.02.08.08,12864.148203456813
Chongqing,2025.02.08.12,16296.759286981101
Chongqing,2025.02.08.16,17176.242417803274
Chongqing,2025.02.08.20,15763.032247346675
Chongqing,2025.03.21.00,15881.88277923548
Chongqing,2025.03.21.04,12809.152441138966
Chongqing,2025.03.21.08,13277.558014770117
Chongqing,2025.03.21.12,16596.279169573707
Chongqing,2025.03.21.16,17760.48631483506
Chongqing,2025.03.21.20,16978.26803611492
Chongqing,2025.04.11.00,16827.15922312437
Chongqing,2025.04.11.04,13311.990102587752
Chongqing,2025.04.11.08,13711.88567800623
Chongqing,2025.04.11.12,17183.532741276875
Chongqing,2025.04.11.16,18371.89002469599
Chongqing,2025.04.11.20,16963.175695081914
Chongqing,2025.05.22.00,16624.875531114296
Chongqing,2025.05.22.04,13176.136027802746
Chongqing,2025.05.22.08,13565.380020844352
Chongqing,2025.05.22.12,17242.6716159113
Chongqing,2025.05.22.16,18271.676769453
Chongqing,2025.05.22.20,16641.32509371806
Chongqing,2025.06.16.00,17157.247559850475
Chongqing,2025.06.16.04,13913.633293977191
Chongqing,2025.06.16.08,14319.65080935227
Chongqing,2025.06.16.12,18085.339858016814
Chongqing,2025.06.16.16,19323.047738038953
Chongqing,2025.06.16.20,17897.245320801478
Chongqing,2025.07.22.00,18788.35587314389
Chongqing,2025.07.22.04,15796.1900506811
Chongqing,2025.07.22.08,16265.863091011088
Chongqing,2025.07.22.12,20630.86487869229
Chongqing,2025.07.22.16,21885.148004748895
Chongqing,2025.07.22.20,20562.03741739806
Chongqing,2025.08.19.00,23931.56781710826
Chongqing,2025.08.19.04,18707.36174681246
Chongqing,2025.08.19.08,19308.017924274238
Chongqing,2025.08.19.12,24463.224702911193
Chongqing,2025.08.19.16,23985.595379468006
Chongqing,2025.08.19.20,25067.389168800742
Chongqing,2025.09.20.00,18476.14964942696
Chongqing,2025.09.20.04,14816.095478922283
Chongqing,2025.09.20.08,15249.017300712248
Chongqing,2025.09.20.12,19043.223656167687
Chongqing,2025.09.20.16,20751.14030252563
Chongqing,2025.09.20.20,19106.307107531327
Chongqing,2025.10.26.00,17145.214505869168
Chongqing,2025.10.26.04,13903.928322285747
Chongqing,2025.10.26.08,14322.509626431362
Chongqing,2025.10.26.12,18217.701785827983
Chongqing,2025.10.26.16,19216.353414270223
Chongqing,2025.10.26.20,17825.637213490867
Chongqing,2025.11.19.00,17535.96072792849
Chongqing,2025.11.19.04,14064.043441289758
Chongqing,2025.11.19.08,14500.478130729145
Chongqing,2025.11.19.12,18401.08364399789
Chongqing,2025.11.19.16,19540.26266492433
Chongqing,2025.11.19.20,17769.237403306866
Chongqing,2025.12.16.00,19310.9269293208
Chongqing,2025.12.16.04,15650.631843604437
Chongqing,2025.12.16.08,16144.590648318797
Chongqing,2025.12.16.12,20268.826915255464
Chongqing,2025.12.16.16,21610.981291986067
Chongqing,2025.12.16.20,19784.686944597994
Henan,2025.01.22.00,65879.76543421466
Henan,2025.01.22.04,58391.68008426716
Henan,2025.01.22.08,59492.018863065154
Henan,2025.01.22.12,63161.43580083561
Henan,2025.01.22.16,70648.91667809559
Henan,2025.01.22.20,69291.33739116706
Henan,2025.02.08.00,60854.113712041275
Henan,2025.02.08.04,53823.13141735998
Henan,2025.02.08.08,54677.64172525163
Henan,2025.02.08.12,65633.83553167449
Henan,2025.02.08.16,65500.72669005219
Henan,2025.02.08.20,63848.58553583981
Henan,2025.03.21.00,55855.775139428486
Henan,2025.03.21.04,49511.24903952524
Henan,2025.03.21.08,50509.9413253094
Henan,2025.03.21.12,60166.04433781504
Henan,2025.03.21.16,60362.20252141151
Henan,2025.03.21.20,60462.181729392265
Henan,2025.04.11.00,53916.01267207405
Henan,2025.04.11.04,47167.591488918275
Henan,2025.04.11.08,47232.34397292482
Henan,2025.04.11.12,56536.65258428136
Henan,2025.04.11.16,58106.03284194542
Henan,2025.04.11.20,56268.577321634206
Henan,2025.05.22.00,54339.11809667386
Henan,2025.05.22.04,48820.7331717529
Henan,2025.05.22.08,44039.19159574076
Henan,2025.05.22.12,51408.35482099937
Henan,2025.05.22.16,57175.984278852724
Henan,2025.05.22.20,58491.76184288182
Henan,2025.06.16.00,63714.90817103744
Henan,2025.06.16.04,56332.994646729065
Henan,2025.06.16.08,52836.91254592038
Henan,2025.06.16.12,63285.75819512772
Henan,2025.06.16.16,68516.65823131191
Henan,2025.06.16.20,67144.6881314114
Henan,2025.07.22.00,72925.7433672126
Henan,2025.07.22.04,64972.01085567276
Henan,2025.07.22.08,64748.67347298785
Henan,2025.07.22.12,75192.76054567931
Henan,2025.07.22.16,78529.75545099833
Henan,2025.07.22.20,78007.36321396609
Henan,2025.08.19.00,66895.90515189918
Henan,2025.08.19.04,59266.2520913055
Henan,2025.08.19.08,60252.06848318892
Henan,2025.08.19.12,68803.62881893622
Henan,2025.08.19.16,70500.4782789516
Henan,2025.08.19.20,71209.79327107336
Henan,2025.09.20.00,53220.755579874705
Henan,2025.09.20.04,47967.939726486904
Henan,2025.09.20.08,47538.1620301471
Henan,2025.09.20.12,55751.21931459127
Henan,2025.09.20.16,57963.54051274073
Henan,2025.09.20.20,56948.33779561868
Henan,2025.10.26.00,49465.23770753724
Henan,2025.10.26.04,44357.663304736016
Henan,2025.10.26.08,40897.41969298659
Henan,2025.10.26.12,44747.536345287415
Henan,2025.10.26.16,52905.15102620666
Henan,2025.10.26.20,54009.42993907465
Henan,2025.11.19.00,53240.820752911044
Henan,2025.11.19.04,47397.36092925618
Henan,2025.11.19.08,46223.99396411806
Henan,2025.11.19.12,50476.542043712245
Henan,2025.11.19.16,57648.831361262935
Henan,2025.11.19.20,56275.67040658391
Henan,2025.12.16.00,60301.108837967
Henan,2025.12.16.04,53744.55407798416
Henan,2025.12.16.08,52718.96140132914
Henan,2025.12.16.12,55990.229962787016
Henan,2025.12.16.16,65030.289047346785
Henan,2025.12.16.20,64028.70862262725
Hubei,2025.01.22.00,36292.3664423345
Hubei,2025.01.22.04,32669.030639764103
Hubei,2025.01.22.08,32621.960626431894
Hubei,2025.01.22.12,37314.722827106234
Hubei,2025.01.22.16,39844.217184928435
Hubei,2025.01.22.20,37894.215625297125
Hubei,2025.02.08.00,31932.124366406177
Hubei,2025.02.08.04,28911.61898833654
Hubei,2025.02.08.08,28857.596587077194
Hubei,2025.02.08.12,34101.14602969356
Hubei,2025.02.08.16,35542.398082794956
Hubei,2025.02.08.20,33430.802534777504
Hubei,2025.03.21.00,31320.11845700404
Hubei,2025.03.21.04,27924.05834234467
Hubei,2025.03.21.08,27767.134075303275
Hubei,2025.03.21.12,32895.38589678694
Hubei,2025.03.21.16,34311.236914142755
Hubei,2025.03.21.20,32321.433342901364
Hubei,2025.04.11.00,30343.873421857978
Hubei,2025.04.11.04,27220.87682931943
Hubei,2025.04.11.08,27192.01139244583
Hubei,2025.04.11.12,32062.289203405595
Hubei,2025.04.11.16,33864.30421304754
Hubei,2025.04.11.20,31560.873601634852
Hubei,2025.05.22.00,31031.754457749284
Hubei,2025.05.22.04,27596.817013015632
Hubei,2025.05.22.08,26506.644535239146
Hubei,2025.05.22.12,31032.656988400035
Hubei,2025.05.22.16,34019.38709632342
Hubei,2025.05.22.20,31870.72885264182
Hubei,2025.06.16.00,34108.84762826093
Hubei,2025.06.16.04,30880.122253832105
Hubei,2025.06.16.08,29979.591513807536
Hubei,2025.06.16.12,34854.54317824248
Hubei,2025.06.16.16,37235.5483617673
Hubei,2025.06.16.20,36574.983586776856
Hubei,2025.07.22.00,40555.912640945375
Hubei,2025.07.22.04,35614.18641701437
Hubei,2025.07.22.08,35381.16588552112
Hubei,2025.07.22.12,40828.79752222073
Hubei,2025.07.22.16,43234.56174288712
Hubei,2025.07.22.20,41166.343035248785
Hubei,2025.08.19.00,43926.80396384191
Hubei,2025.08.19.04,39213.82215513759
Hubei,2025.08.19.08,39074.243948834104
Hubei,2025.08.19.12,45873.24654708908
Hubei,2025.08.19.16,48122.4602046451
Hubei,2025.08.19.20,45339.891494218384
Hubei,2025.09.20.00,36273.6984351891
Hubei,2025.09.20.04,32232.711385258186
Hubei,2025.09.20.08,31333.13106191239
Hubei,2025.09.20.12,36326.65639914762
Hubei,2025.09.20.16,38924.90960384411
Hubei,2025.09.20.20,37245.753221999475
Hubei,2025.10.26.00,30296.548634119386
Hubei,2025.10.26.04,26670.02535770264
Hubei,2025.10.26.08,25899.767124466034
Hubei,2025.10.26.12,30103.047003708667
Hubei,2025.10.26.16,32579.34963763394
Hubei,2025.10.26.20,30922.19639156621
Hubei,2025.11.19.00,31749.92490224488
Hubei,2025.11.19.04,28513.08778919747
Hubei,2025.11.19.08,28282.277713986274
Hubei,2025.11.19.12,32187.931004215297
Hubei,2025.11.19.16,35020.16898360488
Hubei,2025.11.19.20,32933.08648106315
Hubei,2025.12.16.00,35729.04770745766
Hubei,2025.12.16.04,32341.79200822017
Hubei,2025.12.16.08,31866.197745376703
Hubei,2025.12.16.12,36087.56454185227
Hubei,2025.12.16.16,39681.44467909446
Hubei,2025.12.16.20,38136.52478726262
Hunan,2025.01.22.00,35203.71591572765
Hunan,2025.01.22.04,26997.943003176566
Hunan,2025.01.22.08,28747.30379035248
Hunan,2025.01.22.12,34473.91522538204
Hunan,2025.01.22.16,35233.51392278809
Hunan,2025.01.22.20,36373.451166817635
Hunan,2025.02.08.00,32815.48924414446
Hunan,2025.02.08.04,25254.519399638146
Hunan,2025.02.08.08,26705.00404756304
Hunan,2025.02.08.12,32555.81296609894
Hunan,2025.02.08.16,33024.52677194752
Hunan,2025.02.08.20,33912.08826126188
Hunan,2025.03.21.00,29845.62903539884
Hunan,2025.03.21.04,22897.543389354876
Hunan,2025.03.21.08,23978.648036539496
Hunan,2025.03.21.12,29644.908861736927
Hunan,2025.03.21.16,30197.625203918084
Hunan,2025.03.21.20,30842.983888833158
Hunan,2025.04.11.00,28868.706196242423
Hunan,2025.04.11.04,21793.142476967794
Hunan,2025.04.11.08,23040.55373614847
Hunan,2025.04.11.12,28769.75502501256
Hunan,2025.04.11.16,28912.15929362422
Hunan,2025.04.11.20,29233.477758249
Hunan,2025.05.22.00,26929.097906715273
Hunan,2025.05.22.04,20461.962321388175
Hunan,2025.05.22.08,21234.070637866316
Hunan,2025.05.22.12,26603.100290458504
Hunan,2025.05.22.16,26587.355574440004
Hunan,2025.05.22.20,27439.61986430581
Hunan,2025.06.16.00,31913.041074643403
Hunan,2025.06.16.04,24239.775694655757
Hunan,2025.06.16.08,24732.78651004636
Hunan,2025.06.16.12,30376.558243210136
Hunan,2025.06.16.16,31180.749004110283
Hunan,2025.06.16.20,32530.486275644038
Hunan,2025.07.22.00,35298.21034206841
Hunan,2025.07.22.04,26518.348010045407
Hunan,2025.07.22.08,28148.101853426822
Hunan,2025.07.22.12,35269.865423104755
Hunan,2025.07.22.16,34217.56341196103
Hunan,2025.07.22.20,35735.319305027566
Hunan,2025.08.19.00,39569.23002013242
Hunan,2025.08.19.04,30248.495776403593
Hunan,2025.08.19.08,32052.112004527564
Hunan,2025.08.19.12,40098.185794388846
Hunan,2025.08.19.16,41785.947986461775
Hunan,2025.08.19.20,38788.91953853982
Hunan,2025.09.20.00,35519.72873806948
Hunan,2025.09.20.04,27239.183760664837
Hunan,2025.09.20.08,28041.678933637595
Hunan,2025.09.20.12,34245.179421973146
Hunan,2025.09.20.16,35712.58460811916
Hunan,2025.09.20.20,36706.69564057856
Hunan,2025.10.26.00,29089.16566730844
Hunan,2025.10.26.04,21940.776475535273
Hunan,2025.10.26.08,22549.909479701055
Hunan,2025.10.26.12,27447.477393686502
Hunan,2025.10.26.16,28335.159596732
Hunan,2025.10.26.20,29566.723117762936
Hunan,2025.11.19.00,31691.25388581785
Hunan,2025.11.19.04,24402.88261368279
Hunan,2025.11.19.08,25743.697345652272
Hunan,2025.11.19.12,31448.18241279454
Hunan,2025.11.19.16,31606.918167861986
Hunan,2025.11.19.20,32750.284199333793
Hunan,2025.12.16.00,37419.20798133381
Hunan,2025.12.16.04,28354.32900039557
Hunan,2025.12.16.08,29790.265179129357
Hunan,2025.12.16.12,36261.03144583164
Hunan,2025.12.16.16,36954.48076535495
Hunan,2025.12.16.20,38140.49697833659
Jiangxi,2025.01.22.00,16452.61498605681
Jiangxi,2025.01.22.04,14569.842487326716
Jiangxi,2025.01.22.08,14329.236921202852
Jiangxi,2025.01.22.12,16891.1346285528
Jiangxi,2025.01.22.16,17858.23216174499
Jiangxi,2025.01.22.20,18298.99433127244
Jiangxi,2025.02.08.00,14271.198817046357
Jiangxi,2025.02.08.04,12845.307728737804
Jiangxi,2025.02.08.08,12424.702121368216
Jiangxi,2025.02.08.12,13778.894268059452
Jiangxi,2025.02.08.16,15539.755581286485
Jiangxi,2025.02.08.20,16033.23338217508
Jiangxi,2025.03.21.00,14977.933784363886
Jiangxi,2025.03.21.04,13401.683336877088
Jiangxi,2025.03.21.08,12496.211500762303
Jiangxi,2025.03.21.12,14683.996614484266
Jiangxi,2025.03.21.16,15821.923946688492
Jiangxi,2025.03.21.20,16794.829938835905
Jiangxi,2025.04.11.00,14545.887322567478
Jiangxi,2025.04.11.04,13135.362437053327
Jiangxi,2025.04.11.08,12721.157625971278
Jiangxi,2025.04.11.12,15087.833856032841
Jiangxi,2025.04.11.16,15914.64037372735
Jiangxi,2025.04.11.20,16523.243890514997
Jiangxi,2025.05.22.00,14655.5210759766
Jiangxi,2025.05.22.04,13065.455926480678
Jiangxi,2025.05.22.08,11713.798371143928
Jiangxi,2025.05.22.12,14395.379410336853
Jiangxi,2025.05.22.16,15656.941632113212
Jiangxi,2025.05.22.20,16309.392862382683
Jiangxi,2025.06.16.00,15699.876027764309
Jiangxi,2025.06.16.04,14193.685311077299
Jiangxi,2025.06.16.08,12280.372160734636
Jiangxi,2025.06.16.12,13735.749492108871
Jiangxi,2025.06.16.16,16749.83433900884
Jiangxi,2025.06.16.20,17724.750283591766
Jiangxi,2025.07.22.00,17513.336800082154
Jiangxi,2025.07.22.04,15755.272646112462
Jiangxi,2025.07.22.08,15029.560069457024
Jiangxi,2025.07.22.12,16477.0030196735
Jiangxi,2025.07.22.16,19068.42069266885
Jiangxi,2025.07.22.20,19726.18566988944
Jiangxi,2025.08.19.00,20401.12198770243
Jiangxi,2025.08.19.04,18044.18940396019
Jiangxi,2025.08.19.08,17158.404044597257
Jiangxi,2025.08.19.12,19802.02659902693
Jiangxi,2025.08.19.16,21619.672208455548
Jiangxi,2025.08.19.20,22636.33418103823
Jiangxi,2025.09.20.00,17557.67543256283
Jiangxi,2025.09.20.04,15518.750116396412
Jiangxi,2025.09.20.08,13585.07857103527
Jiangxi,2025.09.20.12,15190.808832903698
Jiangxi,2025.09.20.16,18214.082931772755
Jiangxi,2025.09.20.20,19468.184790261457
Jiangxi,2025.10.26.00,16438.80228348015
Jiangxi,2025.10.26.04,14793.993239744455
Jiangxi,2025.10.26.08,13285.449353360404
Jiangxi,2025.10.26.12,14328.210239319433
Jiangxi,2025.10.26.16,17848.580471894827
Jiangxi,2025.10.26.20,18734.530234581838
Jiangxi,2025.11.19.00,16105.860271876558
Jiangxi,2025.11.19.04,14244.822700002534
Jiangxi,2025.11.19.08,14069.430370196726
Jiangxi,2025.11.19.12,16530.35616793664
Jiangxi,2025.11.19.16,17820.363684837386
Jiangxi,2025.11.19.20,18082.138285905177
Jiangxi,2025.12.16.00,17885.288058873917
Jiangxi,2025.12.16.04,15914.750847142557
Jiangxi,2025.12.16.08,14636.420801248258
Jiangxi,2025.12.16.12,15753.3699749698
Jiangxi,2025.12.16.16,19325.805332179516
Jiangxi,2025.12.16.20,20083.141713774872
Sichuan,2025.01.22.00,36851.68263446463
Sichuan,2025.01.22.04,30938.91344029789
Sichuan,2025.01.22.08,32096.767834969272
Sichuan,2025.01.22.12,45478.22768310084
Sichuan,2025.01.22.16,46571.10856354542
Sichuan,2025.01.22.20,44495.75672117889
Sichuan,2025.02.08.00,31932.894060997784
Sichuan,2025.02.08.04,26847.813414694723
Sichuan,2025.02.08.08,27849.91487231732
Sichuan,2025.02.08.12,39515.6063877754
Sichuan,2025.02.08.16,42141.12835810605
Sichuan,2025.02.08.20,36419.39527265058
Sichuan,2025.03.21.00,30698.970866880572
Sichuan,2025.03.21.04,25821.53578840845
Sichuan,2025.03.21.08,26752.44435078828
Sichuan,2025.03.21.12,37882.18055604499
Sichuan,2025.03.21.16,38161.55636817466
Sichuan,2025.03.21.20,38283.267308510665
Sichuan,2025.04.11.00,33256.18360351531
Sichuan,2025.04.11.04,27660.138580811617
Sichuan,2025.04.11.08,28646.481066305074
Sichuan,2025.04.11.12,40731.825465020906
Sichuan,2025.04.11.16,43043.376784322456
Sichuan,2025.04.11.20,38011.20486941711
Sichuan,2025.05.22.00,32563.635462204365
Sichuan,2025.05.22.04,27179.924708362832
Sichuan,2025.05.22.08,27993.55699199293
Sichuan,2025.05.22.12,40119.35240091857
Sichuan,2025.05.22.16,41136.26431556335
Sichuan,2025.05.22.20,37538.196136257175
Sichuan,2025.06.16.00,36190.551615426295
Sichuan,2025.06.16.04,30100.738104323336
Sichuan,2025.06.16.08,31173.424969236115
Sichuan,2025.06.16.12,44771.18557133477
Sichuan,2025.06.16.16,45627.68432854882
Sichuan,2025.06.16.20,42414.280892658295
Sichuan,2025.07.22.00,36881.3433135595
Sichuan,2025.07.22.04,29410.58147486695
Sichuan,2025.07.22.08,30282.33361843305
Sichuan,2025.07.22.12,43572.70338516991
Sichuan,2025.07.22.16,43972.177345623444
Sichuan,2025.07.22.20,39697.334566838545
Sichuan,2025.08.19.00,40660.81207193614
Sichuan,2025.08.19.04,33740.678691703695
Sichuan,2025.08.19.08,34801.701695259566
Sichuan,2025.08.19.12,49574.564375848866
Sichuan,2025.08.19.16,50565.25564208058
Sichuan,2025.08.19.20,46259.745374100625
Sichuan,2025.09.20.00,39613.98256288796
Sichuan,2025.09.20.04,32948.105546046885
Sichuan,2025.09.20.08,34110.301498960194
Sichuan,2025.09.20.12,48437.348477031475
Sichuan,2025.09.20.16,49561.18139240751
Sichuan,2025.09.20.20,46259.96185249738
Sichuan,2025.10.26.00,33603.26052551901
Sichuan,2025.10.26.04,28098.431193408975
Sichuan,2025.10.26.08,28934.65130226357
Sichuan,2025.10.26.12,41420.84989461206
Sichuan,2025.10.26.16,43496.877466166625
Sichuan,2025.10.26.20,38407.907393826295
Sichuan,2025.11.19.00,35864.510725214044
Sichuan,2025.11.19.04,29979.178985613307
Sichuan,2025.11.19.08,30910.968188320276
Sichuan,2025.11.19.12,44466.59852382925
Sichuan,2025.11.19.16,45116.804279620395
Sichuan,2025.11.19.20,41753.288332797514
Sichuan,2025.12.16.00,37872.75553630596
Sichuan,2025.12.16.04,30329.085383861984
Sichuan,2025.12.16.08,31284.989176652693
Sichuan,2025.12.16.12,44433.94008637825
Sichuan,2025.12.16.16,45390.8939265959
Sichuan,2025.12.16.20,41473.32419130211
Anhui,2025.01.22.00,28179.877213951113
Anhui,2025.01.22.04,24279.56364685417
Anhui,2025.01.22.08,25107.9900609944
Anhui,2025.01.22.12,28696.023069634317
Anhui,2025.01.22.16,30089.79802957764
Anhui,2025.01.22.20,32979.98803394694
Anhui,2025.02.08.00,25416.6999113108
Anhui,2025.02.08.04,21669.798550887328
Anhui,2025.02.08.08,22319.777904808972
Anhui,2025.02.08.12,25922.267639151847
Anhui,2025.02.08.16,26387.198160028303
Anhui,2025.02.08.20,28884.59177343682
Anhui,2025.03.21.00,24348.529738404708
Anhui,2025.03.21.04,20499.905105314992
Anhui,2025.03.21.08,20594.795296542132
Anhui,2025.03.21.12,22769.866539841136
Anhui,2025.03.21.16,25612.815909130368
Anhui,2025.03.21.20,27150.29787978068
Anhui,2025.04.11.00,23207.86725305858
Anhui,2025.04.11.04,19764.949187631362
Anhui,2025.04.11.08,20159.240324392187
Anhui,2025.04.11.12,23699.0850795439
Anhui,2025.04.11.16,24343.14470305855
Anhui,2025.04.11.20,26321.552604434215
Anhui,2025.05.22.00,23534.611831088605
Anhui,2025.05.22.04,19929.115813810353
Anhui,2025.05.22.08,17757.296407694932
Anhui,2025.05.22.12,18617.53609956906
Anhui,2025.05.22.16,23072.493791383524
Anhui,2025.05.22.20,26540.162836597152
Anhui,2025.06.16.00,26078.16834014196
Anhui,2025.06.16.04,22363.01076526874
Anhui,2025.06.16.08,19078.901884815736
Anhui,2025.06.16.12,21128.00252886051
Anhui,2025.06.16.16,25934.584913770163
Anhui,2025.06.16.20,29705.331947658506
Anhui,2025.07.22.00,30583.838665944353
Anhui,2025.07.22.04,26341.198077686906
Anhui,2025.07.22.08,25101.98942324604
