BALANCING_AREA,timepoints,NREL35VarGenSpinningReserveRequirement,CommittedSpinningReserveUp
Central_China,2025.01.22.00,30837.4,30837.4
Central_China,2025.01.22.04,27457.5,27457.5
Central_China,2025.01.22.08,27613.9,27613.9
Central_China,2025.01.22.12,33653.6,33653.6
Central_China,2025.01.22.16,38145.5,38145.5
Central_China,2025.01.22.20,38372.1,38372.1
Central_China,2025.02.08.00,28901.4,28901.4
Central_China,2025.02.08.04,26390.8,26390.8
Central_China,2025.02.08.08,27601.9,27601.9
Central_China,2025.02.08.12,32655.5,32655.5
Central_China,2025.02.08.16,36724.9,36724.9
Central_China,2025.02.08.20,32362.8,32362.8
Central_China,2025.03.21.00,28791.5,28791.5
Central_China,2025.03.21.04,24211.2,24211.2
Central_China,2025.03.21.08,23579.2,23579.2
Central_China,2025.03.21.12,28598,28598
Central_China,2025.03.21.16,32629,32629
Central_China,2025.03.21.20,36250.3,36250.3
Central_China,2025.04.11.00,27588.5,27588.5
Central_China,2025.04.11.04,24333.7,24333.7
Central_China,2025.04.11.08,25442,25442
Central_China,2025.04.11.12,30855.1,30855.1
Central_China,2025.04.11.16,35097.3,35097.3
Central_China,2025.04.11.20,28716.3,28716.3
Central_China,2025.05.22.00,23955.2,23955.2
Central_China,2025.05.22.04,18739.2,18739.2
Central_China,2025.05.22.08,20992.4,20992.4
Central_China,2025.05.22.12,26208.2,26208.2
Central_China,2025.05.22.16,29592.2,29592.2
Central_China,2025.05.22.20,25862,25862
Central_China,2025.06.16.00,23396.1,23396.1
Central_China,2025.06.16.04,19779.7,19779.7
Central_China,2025.06.16.08,21405.7,21405.7
Central_China,2025.06.16.12,26879.6,26879.6
Central_China,2025.06.16.16,29250.6,29250.6
Central_China,2025.06.16.20,26422.7,26422.7
Central_China,2025.07.22.00,24248.8,24248.8
Central_China,2025.07.22.04,19690.8,19690.8
Central_China,2025.07.22.08,20736.4,20736.4
Central_China,2025.07.22.12,28025,28025
Central_China,2025.07.22.16,28352.8,28352.8
Central_China,2025.07.22.20,26240.9,26240.9
Central_China,2025.08.19.00,26582.2,26582.2
Central_China,2025.08.19.04,20317.7,20317.7
Central_China,2025.08.19.08,21876.3,21876.3
Central_China,2025.08.19.12,30185,30185
Central_China,2025.08.19.16,31854.4,31854.4
Central_China,2025.08.19.20,28915.4,28915.4
Central_China,2025.09.20.00,22834,22834
Central_China,2025.09.20.04,19637.1,19637.1
Central_China,2025.09.20.08,21748.6,21748.6
Central_China,2025.09.20.12,27264.8,27264.8
Central_China,2025.09.20.16,28933.9,28933.9
Central_China,2025.09.20.20,26504.7,26504.7
Central_China,2025.10.26.00,23674.9,23674.9
Central_China,2025.10.26.04,20734.6,20734.6
Central_China,2025.10.26.08,23861.8,23861.8
Central_China,2025.10.26.12,30955.5,30955.5
Central_China,2025.10.26.16,33790.8,33790.8
Central_China,2025.10.26.20,27417.1,27417.1
Central_China,2025.11.19.00,31886.7,31886.7
Central_China,2025.11.19.04,29457.7,29457.7
Central_China,2025.11.19.08,30226.7,30226.7
Central_China,2025.11.19.12,33961.6,33961.6
Central_China,2025.11.19.16,35976.6,35976.6
Central_China,2025.11.19.20,32767.9,32767.9
Central_China,2025.12.16.00,35638.4,35638.4
Central_China,2025.12.16.04,33013.9,33013.9
Central_China,2025.12.16.08,33827.1,33827.1
Central_China,2025.12.16.12,38419.9,38419.9
Central_China,2025.12.16.16,36994.2,36994.2
Central_China,2025.12.16.20,33480.9,33480.9
East_China,2025.01.22.00,24310.8,24310.8
East_China,2025.01.22.04,21078.5,21078.5
East_China,2025.01.22.08,24264.5,24264.5
East_China,2025.01.22.12,28928.1,28928.1
East_China,2025.01.22.16,29372.5,29372.5
East_China,2025.01.22.20,27209,27209
East_China,2025.02.08.00,20105.6,20105.6
East_China,2025.02.08.04,18125,18125
East_China,2025.02.08.08,20985.3,20985.3
East_China,2025.02.08.12,24594.6,24594.6
East_China,2025.02.08.16,25222.1,25222.1
East_China,2025.02.08.20,22401.7,22401.7
East_China,2025.03.21.00,22393.1,22393.1
East_China,2025.03.21.04,19852.1,19852.1
East_China,2025.03.21.08,23636.4,23636.4
East_China,2025.03.21.12,29631.7,29631.7
East_China,2025.03.21.16,27937.6,27937.6
East_China,2025.03.21.20,25630.2,25630.2
East_China,2025.04.11.00,22360.4,22360.4
East_China,2025.04.11.04,19283.5,19283.5
East_China,2025.04.11.08,22641.2,22641.2
East_China,2025.04.11.12,26920.7,26920.7
East_China,2025.04.11.16,27087.8,27087.8
East_China,2025.04.11.20,25144.7,25144.7
East_China,2025.05.22.00,20974.2,20974.2
East_China,2025.05.22.04,18575.9,18575.9
East_China,2025.05.22.08,26230.4,26230.4
East_China,2025.05.22.12,31741.2,31741.2
East_China,2025.05.22.16,28054.1,28054.1
East_China,2025.05.22.20,23822.3,23822.3
East_China,2025.06.16.00,22989.4,22989.4
East_China,2025.06.16.04,19913.3,19913.3
East_China,2025.06.16.08,28722,28722
East_China,2025.06.16.12,33708.9,33708.9
East_China,2025.06.16.16,29786.3,29786.3
East_China,2025.06.16.20,25961.7,25961.7
East_China,2025.07.22.00,27818.4,27818.4
East_China,2025.07.22.04,23705.8,23705.8
East_China,2025.07.22.08,30406.6,30406.6
East_China,2025.07.22.12,36990.5,36990.5
East_China,2025.07.22.16,36282.8,36282.8
East_China,2025.07.22.20,29688.8,29688.8
East_China,2025.08.19.00,29925.7,29925.7
East_China,2025.08.19.04,24615.1,24615.1
East_China,2025.08.19.08,29161.5,29161.5
East_China,2025.08.19.12,34912.8,34912.8
East_China,2025.08.19.16,31570.6,31570.6
East_China,2025.08.19.20,33058.8,33058.8
East_China,2025.09.20.00,25000.8,25000.8
East_China,2025.09.20.04,21989.8,21989.8
East_China,2025.09.20.08,29417,29417
East_China,2025.09.20.12,35669,35669
East_China,2025.09.20.16,32604.2,32604.2
East_China,2025.09.20.20,28417.6,28417.6
East_China,2025.10.26.00,22459.8,22459.8
East_China,2025.10.26.04,19337.1,19337.1
East_China,2025.10.26.08,25715,25715
East_China,2025.10.26.12,31513.5,31513.5
East_China,2025.10.26.16,26618.6,26618.6
East_China,2025.10.26.20,25406.1,25406.1
East_China,2025.11.19.00,23920.5,23920.5
East_China,2025.11.19.04,20755.2,20755.2
East_China,2025.11.19.08,24493.3,24493.3
East_China,2025.11.19.12,28818.2,28818.2
East_China,2025.11.19.16,28293,28293
East_China,2025.11.19.20,26760.6,26760.6
East_China,2025.12.16.00,26933.3,26933.3
East_China,2025.12.16.04,23153.6,23153.6
East_China,2025.12.16.08,29316.1,29316.1
East_China,2025.12.16.12,35657.5,35657.5
East_China,2025.12.16.16,30309.4,30309.4
East_China,2025.12.16.20,29234.4,29234.4
North_China,2025.01.22.00,29743.9,29743.9
North_China,2025.01.22.04,26919.9,26919.9
North_China,2025.01.22.08,30842.8,30842.8
North_China,2025.01.22.12,38286.8,38286.8
North_China,2025.01.22.16,33396.1,33396.1
North_China,2025.01.22.20,29112.7,29112.7
North_China,2025.02.08.00,27074.9,27074.9
North_China,2025.02.08.04,24688.1,24688.1
North_China,2025.02.08.08,28542.3,28542.3
North_China,2025.02.08.12,33986.1,33986.1
North_China,2025.02.08.16,30715.7,30715.7
North_China,2025.02.08.20,27180.9,27180.9
North_China,2025.03.21.00,28742.5,28742.5
North_China,2025.03.21.04,25453.6,25453.6
North_China,2025.03.21.08,30657.7,30657.7
North_China,2025.03.21.12,36305.2,36305.2
North_China,2025.03.21.16,33932.7,33932.7
North_China,2025.03.21.20,27524,27524
North_China,2025.04.11.00,26964.3,26964.3
North_China,2025.04.11.04,23666.3,23666.3
North_China,2025.04.11.08,30884.9,30884.9
North_China,2025.04.11.12,38467.9,38467.9
North_China,2025.04.11.16,32036,32036
North_China,2025.04.11.20,28279.4,28279.4
North_China,2025.05.22.00,26663.4,26663.4
North_China,2025.05.22.04,23049.2,23049.2
North_China,2025.05.22.08,33373.4,33373.4
North_China,2025.05.22.12,40421,40421
North_China,2025.05.22.16,36557.8,36557.8
North_China,2025.05.22.20,26237.5,26237.5
North_China,2025.06.16.00,27993.2,27993.2
North_China,2025.06.16.04,24635.4,24635.4
North_China,2025.06.16.08,34119.5,34119.5
North_China,2025.06.16.12,39946.3,39946.3
North_China,2025.06.16.16,35614.5,35614.5
North_China,2025.06.16.20,28943.3,28943.3
North_China,2025.07.22.00,29129.7,29129.7
North_China,2025.07.22.04,25645,25645
North_China,2025.07.22.08,31213.4,31213.4
North_China,2025.07.22.12,37875.6,37875.6
North_China,2025.07.22.16,35906.2,35906.2
North_China,2025.07.22.20,29144.4,29144.4
North_China,2025.08.19.00,28249.4,28249.4
North_China,2025.08.19.04,25284.3,25284.3
North_China,2025.08.19.08,35111.5,35111.5
North_China,2025.08.19.12,42284.5,42284.5
North_China,2025.08.19.16,38858.1,38858.1
North_China,2025.08.19.20,27698.5,27698.5
North_China,2025.09.20.00,26383.3,26383.3
North_China,2025.09.20.04,23547.2,23547.2
North_China,2025.09.20.08,29004.3,29004.3
North_China,2025.09.20.12,33715.6,33715.6
North_China,2025.09.20.16,33188.9,33188.9
North_China,2025.09.20.20,28364.7,28364.7
North_China,2025.10.26.00,26040.3,26040.3
North_China,2025.10.26.04,23013.6,23013.6
North_China,2025.10.26.08,29204.8,29204.8
North_China,2025.10.26.12,35228.1,35228.1
North_China,2025.10.26.16,30027.8,30027.8
North_China,2025.10.26.20,26110.9,26110.9
North_China,2025.11.19.00,27464.4,27464.4
North_China,2025.11.19.04,25102.1,25102.1
North_China,2025.11.19.08,31302.7,31302.7
North_China,2025.11.19.12,37020.3,37020.3
North_China,2025.11.19.16,32004,32004
North_China,2025.11.19.20,29097.8,29097.8
North_China,2025.12.16.00,34611.5,34611.5
North_China,2025.12.16.04,31675.3,31675.3
North_China,2025.12.16.08,38758.5,38758.5
North_China,2025.12.16.12,46818.5,46818.5
North_China,2025.12.16.16,41521.9,41521.9
North_China,2025.12.16.20,37273.9,37273.9
North_East_Grid,2025.01.22.00,9465.92,9465.92
North_East_Grid,2025.01.22.04,8670.95,8670.95
North_East_Grid,2025.01.22.08,10376.7,10376.7
North_East_Grid,2025.01.22.12,11394.9,11394.9
North_East_Grid,2025.01.22.16,10507.7,10507.7
North_East_Grid,2025.01.22.20,10206.7,10206.7
North_East_Grid,2025.02.08.00,8975.41,8975.41
North_East_Grid,2025.02.08.04,8271.14,8271.14
North_East_Grid,2025.02.08.08,10410.9,10410.9
North_East_Grid,2025.02.08.12,11034.3,11034.3
North_East_Grid,2025.02.08.16,9810.66,9810.66
North_East_Grid,2025.02.08.20,9642.26,9642.26
North_East_Grid,2025.03.21.00,10716,10716
North_East_Grid,2025.03.21.04,9824.1,9824.1
North_East_Grid,2025.03.21.08,12532.1,12532.1
North_East_Grid,2025.03.21.12,12990,12990
North_East_Grid,2025.03.21.16,12606.8,12606.8
North_East_Grid,2025.03.21.20,10902,10902
North_East_Grid,2025.04.11.00,9768.13,9768.13
North_East_Grid,2025.04.11.04,9052.08,9052.08
North_East_Grid,2025.04.11.08,11178.8,11178.8
North_East_Grid,2025.04.11.12,11950.4,11950.4
North_East_Grid,2025.04.11.16,11320.7,11320.7
North_East_Grid,2025.04.11.20,10141.5,10141.5
North_East_Grid,2025.05.22.00,8454.97,8454.97
North_East_Grid,2025.05.22.04,7785.36,7785.36
North_East_Grid,2025.05.22.08,10802,10802
North_East_Grid,2025.05.22.12,10699.6,10699.6
North_East_Grid,2025.05.22.16,10296.1,10296.1
North_East_Grid,2025.05.22.20,9143.64,9143.64
North_East_Grid,2025.06.16.00,8352.43,8352.43
North_East_Grid,2025.06.16.04,7844.59,7844.59
North_East_Grid,2025.06.16.08,10345,10345
North_East_Grid,2025.06.16.12,10893.6,10893.6
North_East_Grid,2025.06.16.16,10696.2,10696.2
North_East_Grid,2025.06.16.20,9724.27,9724.27
North_East_Grid,2025.07.22.00,8788.83,8788.83
North_East_Grid,2025.07.22.04,7967.95,7967.95
North_East_Grid,2025.07.22.08,10212.1,10212.1
North_East_Grid,2025.07.22.12,10947,10947
North_East_Grid,2025.07.22.16,10671,10671
North_East_Grid,2025.07.22.20,9410.06,9410.06
North_East_Grid,2025.08.19.00,8373.65,8373.65
North_East_Grid,2025.08.19.04,7889.5,7889.5
North_East_Grid,2025.08.19.08,11350.8,11350.8
North_East_Grid,2025.08.19.12,12067.5,12067.5
North_East_Grid,2025.08.19.16,11613.2,11613.2
North_East_Grid,2025.08.19.20,9544.44,9544.44
North_East_Grid,2025.09.20.00,8182.53,8182.53
North_East_Grid,2025.09.20.04,7552.22,7552.22
North_East_Grid,2025.09.20.08,10336.3,10336.3
North_East_Grid,2025.09.20.12,11315.5,11315.5
North_East_Grid,2025.09.20.16,10856,10856
North_East_Grid,2025.09.20.20,9801.12,9801.12
North_East_Grid,2025.10.26.00,9486.47,9486.47
