timepoints,variable_cost
2025.01.22.00,0
2025.01.22.04,2.71143e-10
2025.01.22.08,1.70344e-10
2025.01.22.12,0
2025.01.22.16,4.61138e-10
2025.01.22.20,-4.47162e-10
2025.02.08.00,2.30229e-10
2025.02.08.04,0
2025.02.08.08,-1.86065e-10
2025.02.08.12,0
2025.02.08.16,0
2025.02.08.20,4.86011e-10
2025.03.21.00,-2.72422e-10
2025.03.21.04,0
2025.03.21.08,0
2025.03.21.12,3.90088e-10
2025.03.21.16,2.89049e-10
2025.03.21.20,0
2025.04.11.00,0
2025.04.11.04,0
2025.04.11.08,-2.0453e-10
2025.04.11.12,-4.54996e-10
2025.04.11.16,0
2025.04.11.20,-1.83945e-10
2025.05.22.00,2.21583e-10
2025.05.22.04,0
2025.05.22.08,0
2025.05.22.12,0
2025.05.22.16,0
2025.05.22.20,0
2025.06.16.00,0
2025.06.16.04,0
2025.06.16.08,0
2025.06.16.12,0
2025.06.16.16,1.52198e-10
2025.06.16.20,1.13299e-10
2025.07.22.00,0
2025.07.22.04,0
2025.07.22.08,0
2025.07.22.12,0
2025.07.22.16,0
2025.07.22.20,0
2025.08.19.00,0
2025.08.19.04,0
2025.08.19.08,0
2025.08.19.12,0
2025.08.19.16,0
2025.08.19.20,0
2025.09.20.00,0
2025.09.20.04,0
2025.09.20.08,0
2025.09.20.12,0
2025.09.20.16,0
2025.09.20.20,0
2025.10.26.00,0
2025.10.26.04,0
2025.10.26.08,-1.83213e-10
2025.10.26.12,-4.14495e-10
2025.10.26.16,0
2025.10.26.20,-2.413e-10
2025.11.19.00,-4.56168e-10
2025.11.19.04,0
2025.11.19.08,-4.60219e-10
2025.11.19.12,-1.0397e-10
2025.11.19.16,0
2025.11.19.20,0
2025.12.16.00,0
2025.12.16.04,0
2025.12.16.08,0
2025.12.16.12,5.86624e-10
2025.12.16.16,0
2025.12.16.20,0
