PERIOD,Component,Component_type,AnnualCost_NPV,AnnualCost_Real
2023,EmissionsCosts,annual,85292276808.79518,58096605441.83734
2023,FuelCostsPerTP,timepoint,286314878338.2916,195022610971.40897
2023,GenVariableOMCostsInTP,timepoint,28233404413.74672,19231107643.92364
2023,LocalTDFixedCosts,annual,123279103057.16463,83971230192.28812
2023,SpinReserveCostsInTP,timepoint,6697478548.751827,4561969538.863112
2023,StaVariableOMCosts,timepoint,18917161.15555282,12885373.551435959
2023,StorageEnergyFixedCost,annual,5626379704.3874855,3832393435.6276274
2023,StrFixedOMCosts,annual,776347052.2572318,528806711.09334165
2023,StrVariableOMCostsInTP,timepoint,0.0,0.0
2023,TotalGenFixedCosts,annual,326061036169.8528,222095599708.07605
2023,TotalStaFixedCosts,annual,231047124.95048508,157377129.07829264
2023,Total_StartupGenCapacity_OM_Costs,timepoint,0.0,0.0
2023,TxFixedCapitalCosts,annual,44954469998.94202,30620616591.467686
2023,TxFixedOMCosts,annual,13040206422.131857,8882301607.272682
2023,VariableCost,timepoint,-1.5687418163870514e-07,-1.068544278060024e-07
