load_zone,timestamp,ZoneTotalCentralDispatch,TXPowerNet,StoragePowerNet,StorageNetDisCharge,WithdrawFromCentralGrid,StorageNetCharge
Chongqing,2025-01-22_00:00,13893.4,3618.9,0,0,17512.3,0
Chongqing,2025-01-22_04:00,14682.6,-487.545,0,0,14195,0
Chongqing,2025-01-22_08:00,13935.1,703.695,0,0,14638.8,0
Chongqing,2025-01-22_12:00,13968.3,4547.99,0,0,18516.3,0
Chongqing,2025-01-22_16:00,16632.6,3145.57,0,0,19778.1,0
Chongqing,2025-01-22_20:00,14509.5,3426.16,0,0,17935.7,0
Chongqing,2025-02-08_00:00,17123.6,-1550.18,0,0,15573.4,0
Chongqing,2025-02-08_04:00,14082.4,-1597.64,0,0,12484.7,0
Chongqing,2025-02-08_08:00,14005.4,-1141.23,0,0,12864.1,0
Chongqing,2025-02-08_12:00,14234.6,2062.16,0,0,16296.8,0
Chongqing,2025-02-08_16:00,14392.9,2783.33,0,0,17176.2,0
Chongqing,2025-02-08_20:00,14510,1252.99,0,0,15763,0
Chongqing,2025-03-21_00:00,14601.6,1280.24,0,0,15881.9,0
Chongqing,2025-03-21_04:00,14191.9,-1382.73,0,0,12809.2,0
Chongqing,2025-03-21_08:00,14033.5,-755.934,0,0,13277.6,0
Chongqing,2025-03-21_12:00,17483.9,-887.599,0,0,16596.3,0
Chongqing,2025-03-21_16:00,14151.5,3608.97,0,0,17760.5,0
Chongqing,2025-03-21_20:00,12332.7,4645.57,0,0,16978.3,0
Chongqing,2025-04-11_00:00,14611.8,2291.21,0,0,16903,0
Chongqing,2025-04-11_04:00,17682.9,-4446.76,0,0,13236.1,0
Chongqing,2025-04-11_08:00,14171.6,-459.683,0,0,13711.9,0
Chongqing,2025-04-11_12:00,14073.7,3109.78,0,0,17183.5,0
Chongqing,2025-04-11_16:00,15199.2,3172.66,0,0,18371.9,0
Chongqing,2025-04-11_20:00,14041.2,2921.96,0,0,16963.2,0
Chongqing,2025-05-22_00:00,10807.1,6152.79,0,0,16921.5,38.4389
Chongqing,2025-05-22_04:00,8213.75,4962.38,-117.184,117.184,13176.1,0
Chongqing,2025-05-22_08:00,8554.9,5145.4,0,0,13563.5,136.814
Chongqing,2025-05-22_12:00,10542.1,6449.51,0,0,16967.7,23.9426
Chongqing,2025-05-22_16:00,12529.8,5645.57,0,0,18175.3,0
Chongqing,2025-05-22_20:00,10414.2,6303.73,0,0,16718,0
Chongqing,2025-06-16_00:00,11288.7,6499.17,0,0,17787.8,0
Chongqing,2025-06-16_04:00,8596.02,5241.75,0,0,13837.8,0
Chongqing,2025-06-16_08:00,8882.69,5435.07,0,0,14317.8,0
Chongqing,2025-06-16_12:00,11083.5,6812.59,0,0,17896.1,0
Chongqing,2025-06-16_16:00,11875.9,7278.26,0,0,19154.1,0
Chongqing,2025-06-16_20:00,11044,6658.61,0,0,17702.6,0
Chongqing,2025-07-22_00:00,11409.1,7383.34,0,0,18792.5,0
Chongqing,2025-07-22_04:00,9991.06,5954.86,0,0,15796.2,149.727
Chongqing,2025-07-22_08:00,10140.9,6174.48,0,0,16265.9,49.4682
Chongqing,2025-07-22_12:00,11029.8,7739.41,1744.43,117.184,20630.9,0
Chongqing,2025-07-22_16:00,13606.4,8268.43,0,0,21874.8,0
Chongqing,2025-07-22_20:00,12803.3,7564.48,200.259,0,20568.1,0
Chongqing,2025-08-19_00:00,15180.9,8750.63,0,0,23931.6,0
Chongqing,2025-08-19_04:00,12198.9,6658.19,0,0,18707.4,149.727
Chongqing,2025-08-19_08:00,12039.6,7317.9,0,0,19308,49.4682
Chongqing,2025-08-19_12:00,13546.2,9172.63,1744.43,0,24463.2,0
Chongqing,2025-08-19_16:00,14384.6,9601.02,-117.184,117.184,23985.6,0
