ELECRRIC_VEHICLE_TIMEPOINTS_1,ELECRRIC_VEHICLE_TIMEPOINTS_2,ChargingPower
Chongqing-Ev,2025.01.22.00,0.0
Chongqing-Ev,2025.01.22.04,0.0
Chongqing-Ev,2025.01.22.08,0.0
Chongqing-Ev,2025.01.22.12,0.0
Chongqing-Ev,2025.01.22.16,0.0
Chongqing-Ev,2025.01.22.20,470.33764105263197
Chongqing-Ev,2025.02.08.00,0.0
Chongqing-Ev,2025.02.08.04,0.0
Chongqing-Ev,2025.02.08.08,0.0
Chongqing-Ev,2025.02.08.12,260.43819750000006
Chongqing-Ev,2025.02.08.16,251.49392881578956
Chongqing-Ev,2025.02.08.20,0.0
Chongqing-Ev,2025.03.21.00,0.0
Chongqing-Ev,2025.03.21.04,0.0
Chongqing-Ev,2025.03.21.08,0.0
Chongqing-Ev,2025.03.21.12,0.0
Chongqing-Ev,2025.03.21.16,0.0
Chongqing-Ev,2025.03.21.20,669.2930810526315
Chongqing-Ev,2025.04.11.00,607.0467884210523
Chongqing-Ev,2025.04.11.04,0.0
Chongqing-Ev,2025.04.11.08,0.0
Chongqing-Ev,2025.04.11.12,0.0
Chongqing-Ev,2025.04.11.16,0.0
Chongqing-Ev,2025.04.11.20,0.0
Chongqing-Ev,2025.05.22.00,785.2995187105265
Chongqing-Ev,2025.05.22.04,0.0
Chongqing-Ev,2025.05.22.08,1.7961255
Chongqing-Ev,2025.05.22.12,0.0
Chongqing-Ev,2025.05.22.16,0.0
Chongqing-Ev,2025.05.22.20,0.0
Chongqing-Ev,2025.06.16.00,0.0
Chongqing-Ev,2025.06.16.04,0.0
Chongqing-Ev,2025.06.16.08,0.0
Chongqing-Ev,2025.06.16.12,0.0
Chongqing-Ev,2025.06.16.16,0.0
Chongqing-Ev,2025.06.16.20,714.9597536842105
Chongqing-Ev,2025.07.22.00,0.0
Chongqing-Ev,2025.07.22.04,71.84502
Chongqing-Ev,2025.07.22.08,1.7961255000000005
Chongqing-Ev,2025.07.22.12,260.4381975
Chongqing-Ev,2025.07.22.16,736.454387027472
Chongqing-Ev,2025.07.22.20,254.97446576199673
Chongqing-Ev,2025.08.19.00,786.6214853684213
Chongqing-Ev,2025.08.19.04,71.84502
Chongqing-Ev,2025.08.19.08,1.7961255
Chongqing-Ev,2025.08.19.12,260.4381975
Chongqing-Ev,2025.08.19.16,0.0
Chongqing-Ev,2025.08.19.20,1325.540619
Chongqing-Ev,2025.09.20.00,0.0
Chongqing-Ev,2025.09.20.04,71.84502
Chongqing-Ev,2025.09.20.08,1.7961255
Chongqing-Ev,2025.09.20.12,0.0
Chongqing-Ev,2025.09.20.16,1099.1692885595912
Chongqing-Ev,2025.09.20.20,70.8172452552335
Chongqing-Ev,2025.10.26.00,224.26117578947373
Chongqing-Ev,2025.10.26.04,71.84502
Chongqing-Ev,2025.10.26.08,0.0
Chongqing-Ev,2025.10.26.12,111.98515263157894
Chongqing-Ev,2025.10.26.16,191.974547368421
Chongqing-Ev,2025.10.26.20,23.560512631578913
Chongqing-Ev,2025.11.19.00,637.828161868421
Chongqing-Ev,2025.11.19.04,0.0
Chongqing-Ev,2025.11.19.08,1.7961255
Chongqing-Ev,2025.11.19.12,0.0
Chongqing-Ev,2025.11.19.16,0.0
Chongqing-Ev,2025.11.19.20,0.0
Chongqing-Ev,2025.12.16.00,0.0
Chongqing-Ev,2025.12.16.04,71.84502
Chongqing-Ev,2025.12.16.08,1.7961255
Chongqing-Ev,2025.12.16.12,68.59454186842102
Chongqing-Ev,2025.12.16.16,0.0
Chongqing-Ev,2025.12.16.20,0.0
Henan-Ev,2025.01.22.00,2176.4875072368422
Henan-Ev,2025.01.22.04,0.0
Henan-Ev,2025.01.22.08,0.0
Henan-Ev,2025.01.22.12,788.7697675
Henan-Ev,2025.01.22.16,0.0
Henan-Ev,2025.01.22.20,0.0
Henan-Ev,2025.02.08.00,1980.3483873684218
Henan-Ev,2025.02.08.04,0.0
Henan-Ev,2025.02.08.08,0.0
Henan-Ev,2025.02.08.12,0.0
Henan-Ev,2025.02.08.16,96.90316842105283
Henan-Ev,2025.02.08.20,142.71193894736825
Henan-Ev,2025.03.21.00,2187.3687926315793
Henan-Ev,2025.03.21.04,0.0
Henan-Ev,2025.03.21.08,0.0
Henan-Ev,2025.03.21.12,0.0
Henan-Ev,2025.03.21.16,0.0
Henan-Ev,2025.03.21.20,0.0
Henan-Ev,2025.04.11.00,1989.1577663157893
Henan-Ev,2025.04.11.04,217.59166
Henan-Ev,2025.04.11.08,0.0
Henan-Ev,2025.04.11.12,0.0
Henan-Ev,2025.04.11.16,0.0
Henan-Ev,2025.04.11.20,71.35596947368437
Henan-Ev,2025.05.22.00,1411.6597504736842
Henan-Ev,2025.05.22.04,0.0
Henan-Ev,2025.05.22.08,5.439791499999999
Henan-Ev,2025.05.22.12,788.7697675
Henan-Ev,2025.05.22.16,0.0
Henan-Ev,2025.05.22.20,0.0
Henan-Ev,2025.06.16.00,596.7248265268572
Henan-Ev,2025.06.16.04,0.0
Henan-Ev,2025.06.16.08,5.439791499999999
Henan-Ev,2025.06.16.12,788.7697675
Henan-Ev,2025.06.16.16,0.0
Henan-Ev,2025.06.16.20,870.4340113152475
Henan-Ev,2025.07.22.00,1545.165067368422
Henan-Ev,2025.07.22.04,0.0
Henan-Ev,2025.07.22.08,0.0
Henan-Ev,2025.07.22.12,0.0
Henan-Ev,2025.07.22.16,0.0
Henan-Ev,2025.07.22.20,0.0
Henan-Ev,2025.08.19.00,0.0
Henan-Ev,2025.08.19.04,0.0
Henan-Ev,2025.08.19.08,0.0
Henan-Ev,2025.08.19.12,0.0
Henan-Ev,2025.08.19.16,2138.9172084210536
Henan-Ev,2025.08.19.20,0.0
Henan-Ev,2025.09.20.00,0.0
Henan-Ev,2025.09.20.04,0.0
Henan-Ev,2025.09.20.08,5.439791499999999
Henan-Ev,2025.09.20.12,788.7697675
Henan-Ev,2025.09.20.16,0.0
Henan-Ev,2025.09.20.20,684.0050494210525
Henan-Ev,2025.10.26.00,0.0
Henan-Ev,2025.10.26.04,0.0
Henan-Ev,2025.10.26.08,5.439791499999999
Henan-Ev,2025.10.26.12,788.7697675
Henan-Ev,2025.10.26.16,0.0
