SPINNING_RESERVE_GEN_TPS_1,SPINNING_RESERVE_GEN_TPS_2,CommitGenSpinningReservesUp
Anhui-Coal-2022,2025.01.22.00,0.0
Anhui-Coal-2022,2025.01.22.04,0.0
Anhui-Coal-2022,2025.01.22.08,7696.072962017456
Anhui-Coal-2022,2025.01.22.12,15286.21086066372
Anhui-Coal-2022,2025.01.22.16,5817.321576886847
Anhui-Coal-2022,2025.01.22.20,3864.6817292725755
Anhui-Coal-2022,2025.02.08.00,20766.559764539612
Anhui-Coal-2022,2025.02.08.04,0.0
Anhui-Coal-2022,2025.02.08.08,15806.231054814074
Anhui-Coal-2022,2025.02.08.12,0.0
Anhui-Coal-2022,2025.02.08.16,20800.30658311651
Anhui-Coal-2022,2025.02.08.20,12668.050770668691
Anhui-Coal-2022,2025.03.21.00,20650.288002450106
Anhui-Coal-2022,2025.03.21.04,12599.512565235656
Anhui-Coal-2022,2025.03.21.08,0.0
Anhui-Coal-2022,2025.03.21.12,22252.448948517882
Anhui-Coal-2022,2025.03.21.16,0.0
Anhui-Coal-2022,2025.03.21.20,0.0
Anhui-Coal-2022,2025.04.11.00,22814.525846624543
Anhui-Coal-2022,2025.04.11.04,0.0
Anhui-Coal-2022,2025.04.11.08,0.0
Anhui-Coal-2022,2025.04.11.12,10927.348391194919
Anhui-Coal-2022,2025.04.11.16,15442.761326153384
Anhui-Coal-2022,2025.04.11.20,0.0
Anhui-Coal-2022,2025.05.22.00,22150.141193216168
Anhui-Coal-2022,2025.05.22.04,0.0
Anhui-Coal-2022,2025.05.22.08,6142.7803845064445
Anhui-Coal-2022,2025.05.22.12,0.0
Anhui-Coal-2022,2025.05.22.16,0.0
Anhui-Coal-2022,2025.05.22.20,0.0
Anhui-Coal-2022,2025.06.16.00,0.0
Anhui-Coal-2022,2025.06.16.04,0.0
Anhui-Coal-2022,2025.06.16.08,8878.831938186699
Anhui-Coal-2022,2025.06.16.12,18418.80196706515
Anhui-Coal-2022,2025.06.16.16,0.0
Anhui-Coal-2022,2025.06.16.20,1393.2710669839753
Anhui-Coal-2022,2025.07.22.00,0.0
Anhui-Coal-2022,2025.07.22.04,0.0
Anhui-Coal-2022,2025.07.22.08,0.0
Anhui-Coal-2022,2025.07.22.12,29291.539578222786
Anhui-Coal-2022,2025.07.22.16,19661.685133011084
Anhui-Coal-2022,2025.07.22.20,0.0
Anhui-Coal-2022,2025.08.19.00,0.0
Anhui-Coal-2022,2025.08.19.04,0.0
Anhui-Coal-2022,2025.08.19.08,0.0
Anhui-Coal-2022,2025.08.19.12,1743.6166859089317
Anhui-Coal-2022,2025.08.19.16,10237.4423719275
Anhui-Coal-2022,2025.08.19.20,1564.9758791092609
Anhui-Coal-2022,2025.09.20.00,8141.618493024844
Anhui-Coal-2022,2025.09.20.04,14868.260843255019
Anhui-Coal-2022,2025.09.20.08,3908.743613398761
Anhui-Coal-2022,2025.09.20.12,0.0
Anhui-Coal-2022,2025.09.20.16,0.0
Anhui-Coal-2022,2025.09.20.20,15863.76055926246
Anhui-Coal-2022,2025.10.26.00,11052.605427297685
Anhui-Coal-2022,2025.10.26.04,0.0
Anhui-Coal-2022,2025.10.26.08,0.0
Anhui-Coal-2022,2025.10.26.12,0.0
Anhui-Coal-2022,2025.10.26.16,0.0
Anhui-Coal-2022,2025.10.26.20,6962.287945752207
Anhui-Coal-2022,2025.11.19.00,1346.642931548687
Anhui-Coal-2022,2025.11.19.04,0.0
Anhui-Coal-2022,2025.11.19.08,9080.790494797788
Anhui-Coal-2022,2025.11.19.12,0.0
Anhui-Coal-2022,2025.11.19.16,368.0727248137555
Anhui-Coal-2022,2025.11.19.20,11254.298792781992
Anhui-Coal-2022,2025.12.16.00,8998.39345296735
Anhui-Coal-2022,2025.12.16.04,0.0
Anhui-Coal-2022,2025.12.16.08,17619.831447873505
Anhui-Coal-2022,2025.12.16.12,29497.887421433978
Anhui-Coal-2022,2025.12.16.16,0.0
Anhui-Coal-2022,2025.12.16.20,8784.57123298354
Anhui-Gas-2022,2025.01.22.00,0.0
Anhui-Gas-2022,2025.01.22.04,0.0
Anhui-Gas-2022,2025.01.22.08,0.0
Anhui-Gas-2022,2025.01.22.12,0.0
Anhui-Gas-2022,2025.01.22.16,0.0
Anhui-Gas-2022,2025.01.22.20,0.0
Anhui-Gas-2022,2025.02.08.00,0.0
Anhui-Gas-2022,2025.02.08.04,0.0
Anhui-Gas-2022,2025.02.08.08,0.0
Anhui-Gas-2022,2025.02.08.12,0.0
Anhui-Gas-2022,2025.02.08.16,0.0
Anhui-Gas-2022,2025.02.08.20,0.0
Anhui-Gas-2022,2025.03.21.00,0.0
Anhui-Gas-2022,2025.03.21.04,0.0
Anhui-Gas-2022,2025.03.21.08,0.0
Anhui-Gas-2022,2025.03.21.12,0.0
Anhui-Gas-2022,2025.03.21.16,0.0
Anhui-Gas-2022,2025.03.21.20,0.0
Anhui-Gas-2022,2025.04.11.00,0.0
Anhui-Gas-2022,2025.04.11.04,0.0
Anhui-Gas-2022,2025.04.11.08,0.0
Anhui-Gas-2022,2025.04.11.12,0.0
Anhui-Gas-2022,2025.04.11.16,0.0
Anhui-Gas-2022,2025.04.11.20,0.0
Anhui-Gas-2022,2025.05.22.00,0.0
Anhui-Gas-2022,2025.05.22.04,0.0
Anhui-Gas-2022,2025.05.22.08,0.0
Anhui-Gas-2022,2025.05.22.12,0.0
Anhui-Gas-2022,2025.05.22.16,0.0
Anhui-Gas-2022,2025.05.22.20,0.0
Anhui-Gas-2022,2025.06.16.00,0.0
Anhui-Gas-2022,2025.06.16.04,0.0
Anhui-Gas-2022,2025.06.16.08,0.0
Anhui-Gas-2022,2025.06.16.12,0.0
Anhui-Gas-2022,2025.06.16.16,0.0
Anhui-Gas-2022,2025.06.16.20,0.0
Anhui-Gas-2022,2025.07.22.00,0.0
Anhui-Gas-2022,2025.07.22.04,0.0
Anhui-Gas-2022,2025.07.22.08,0.0
Anhui-Gas-2022,2025.07.22.12,0.0
Anhui-Gas-2022,2025.07.22.16,0.0
Anhui-Gas-2022,2025.07.22.20,0.0
Anhui-Gas-2022,2025.08.19.00,0.0
Anhui-Gas-2022,2025.08.19.04,0.0
Anhui-Gas-2022,2025.08.19.08,0.0
Anhui-Gas-2022,2025.08.19.12,0.0
Anhui-Gas-2022,2025.08.19.16,0.0
Anhui-Gas-2022,2025.08.19.20,0.0
Anhui-Gas-2022,2025.09.20.00,0.0
Anhui-Gas-2022,2025.09.20.04,0.0
Anhui-Gas-2022,2025.09.20.08,0.0
Anhui-Gas-2022,2025.09.20.12,0.0
Anhui-Gas-2022,2025.09.20.16,0.0
Anhui-Gas-2022,2025.09.20.20,0.0
Anhui-Gas-2022,2025.10.26.00,0.0
Anhui-Gas-2022,2025.10.26.04,0.0
Anhui-Gas-2022,2025.10.26.08,0.0
Anhui-Gas-2022,2025.10.26.12,0.0
Anhui-Gas-2022,2025.10.26.16,0.0
Anhui-Gas-2022,2025.10.26.20,0.0
Anhui-Gas-2022,2025.11.19.00,0.0
Anhui-Gas-2022,2025.11.19.04,0.0
Anhui-Gas-2022,2025.11.19.08,0.0
Anhui-Gas-2022,2025.11.19.12,0.0
Anhui-Gas-2022,2025.11.19.16,0.0
Anhui-Gas-2022,2025.11.19.20,0.0
