GEN_TP_FUELS_1,GEN_TP_FUELS_2,GEN_TP_FUELS_3,GenFuelUseRate
Anhui-Coal-2022,2025.01.22.00,Coal,332191.2891244693
Anhui-Coal-2022,2025.01.22.04,Coal,285094.3216149497
Anhui-Coal-2022,2025.01.22.08,Coal,299455.45119966223
Anhui-Coal-2022,2025.01.22.12,Coal,283931.9778749367
Anhui-Coal-2022,2025.01.22.16,Coal,359020.2698952873
Anhui-Coal-2022,2025.01.22.20,Coal,367935.0138188897
Anhui-Coal-2022,2025.02.08.00,Coal,223663.6613885973
Anhui-Coal-2022,2025.02.08.04,Coal,151514.09319872718
Anhui-Coal-2022,2025.02.08.08,Coal,192092.87790669562
Anhui-Coal-2022,2025.02.08.12,Coal,159174.87279588604
Anhui-Coal-2022,2025.02.08.16,Coal,240205.19879588607
Anhui-Coal-2022,2025.02.08.20,Coal,304693.9873885973
Anhui-Coal-2022,2025.03.21.00,Coal,241394.84614057065
Anhui-Coal-2022,2025.03.21.04,Coal,166663.043272087
Anhui-Coal-2022,2025.03.21.08,Coal,167154.90622377425
Anhui-Coal-2022,2025.03.21.12,Coal,228689.70983825318
Anhui-Coal-2022,2025.03.21.16,Coal,309720.0358382532
Anhui-Coal-2022,2025.03.21.20,Coal,314909.07006634545
Anhui-Coal-2022,2025.04.11.00,Coal,224232.44003626736
Anhui-Coal-2022,2025.04.11.04,Coal,190220.40606571786
Anhui-Coal-2022,2025.04.11.08,Coal,208854.83264414564
Anhui-Coal-2022,2025.04.11.12,Coal,249631.36398341093
Anhui-Coal-2022,2025.04.11.16,Coal,282690.53268360364
Anhui-Coal-2022,2025.04.11.20,Coal,301718.58919793344
Anhui-Coal-2022,2025.05.22.00,Coal,161650.33864164812
Anhui-Coal-2022,2025.05.22.04,Coal,109505.0681120842
Anhui-Coal-2022,2025.05.22.08,Coal,74180.85259205704
Anhui-Coal-2022,2025.05.22.12,Coal,82550.47657778232
Anhui-Coal-2022,2025.05.22.16,Coal,157596.36437576625
Anhui-Coal-2022,2025.05.22.20,Coal,238626.69037576625
Anhui-Coal-2022,2025.06.16.00,Coal,218856.6784166556
Anhui-Coal-2022,2025.06.16.04,Coal,148257.7498951538
Anhui-Coal-2022,2025.06.16.08,Coal,100432.66928381387
Anhui-Coal-2022,2025.06.16.12,Coal,105768.38246811583
Anhui-Coal-2022,2025.06.16.16,Coal,186798.70846811583
Anhui-Coal-2022,2025.06.16.20,Coal,267829.0344681159
Anhui-Coal-2022,2025.07.22.00,Coal,284366.39633939054
Anhui-Coal-2022,2025.07.22.04,Coal,251855.95217973206
Anhui-Coal-2022,2025.07.22.08,Coal,174861.0032388827
