STR_TPS_1,STR_TPS_2,StorageCharge
Anhui-Battery_Storage-11177-1,2025.01.22.00,1.0
Anhui-Battery_Storage-11177-1,2025.01.22.04,1.0
Anhui-Battery_Storage-11177-1,2025.01.22.08,1.0
Anhui-Battery_Storage-11177-1,2025.01.22.12,1.0
Anhui-Battery_Storage-11177-1,2025.01.22.16,1.0
Anhui-Battery_Storage-11177-1,2025.01.22.20,1.0
Anhui-Battery_Storage-11177-1,2025.02.08.00,1.0
Anhui-Battery_Storage-11177-1,2025.02.08.04,1.0
Anhui-Battery_Storage-11177-1,2025.02.08.08,1.0
Anhui-Battery_Storage-11177-1,2025.02.08.12,1.0
Anhui-Battery_Storage-11177-1,2025.02.08.16,1.0
Anhui-Battery_Storage-11177-1,2025.02.08.20,1.0
Anhui-Battery_Storage-11177-1,2025.03.21.00,1.0
Anhui-Battery_Storage-11177-1,2025.03.21.04,1.0
Anhui-Battery_Storage-11177-1,2025.03.21.08,1.0
Anhui-Battery_Storage-11177-1,2025.03.21.12,1.0
Anhui-Battery_Storage-11177-1,2025.03.21.16,1.0
Anhui-Battery_Storage-11177-1,2025.03.21.20,1.0
Anhui-Battery_Storage-11177-1,2025.04.11.00,1.0
Anhui-Battery_Storage-11177-1,2025.04.11.04,1.0
Anhui-Battery_Storage-11177-1,2025.04.11.08,1.0
Anhui-Battery_Storage-11177-1,2025.04.11.12,1.0
Anhui-Battery_Storage-11177-1,2025.04.11.16,1.0
Anhui-Battery_Storage-11177-1,2025.04.11.20,1.0
Anhui-Battery_Storage-11177-1,2025.05.22.00,1.0
Anhui-Battery_Storage-11177-1,2025.05.22.04,1.0
Anhui-Battery_Storage-11177-1,2025.05.22.08,1.0
Anhui-Battery_Storage-11177-1,2025.05.22.12,1.0
Anhui-Battery_Storage-11177-1,2025.05.22.16,1.0
Anhui-Battery_Storage-11177-1,2025.05.22.20,1.0
Anhui-Battery_Storage-11177-1,2025.06.16.00,1.0
Anhui-Battery_Storage-11177-1,2025.06.16.04,1.0
Anhui-Battery_Storage-11177-1,2025.06.16.08,1.0
Anhui-Battery_Storage-11177-1,2025.06.16.12,1.0
