ev_project,timepoint,load_zone,ev_charge,charging_power,ev_discharge,discharging_power,state_charge_of_ev
Chongqing-Ev,2025-01-22_00:00,Chongqing,0,0,1,0,5454.69
Chongqing-Ev,2025-01-22_04:00,Chongqing,0,0,1,0,5424.85
Chongqing-Ev,2025-01-22_08:00,Chongqing,0,0,1,0,5242.48
Chongqing-Ev,2025-01-22_12:00,Chongqing,0,0,1,0,4476.5
Chongqing-Ev,2025-01-22_16:00,Chongqing,0,0,1,0,3868.58
Chongqing-Ev,2025-01-22_20:00,Chongqing,1,470.338,0,0,5476.8
Chongqing-Ev,2025-02-08_00:00,Chongqing,0,0,1,0,4986.04
Chongqing-Ev,2025-02-08_04:00,Chongqing,0,0,1,0,4962.83
Chongqing-Ev,2025-02-08_08:00,Chongqing,0,0,1,0,3868.58
Chongqing-Ev,2025-02-08_12:00,Chongqing,1,260.438,0,0,4773.13
Chongqing-Ev,2025-02-08_16:00,Chongqing,1,251.494,0,0,4999.31
Chongqing-Ev,2025-02-08_20:00,Chongqing,0,0,1,0,4999.31
Chongqing-Ev,2025-03-21_00:00,Chongqing,0,0,1,0,6223.99
Chongqing-Ev,2025-03-21_04:00,Chongqing,0,0,1,0,6190.83
Chongqing-Ev,2025-03-21_08:00,Chongqing,0,0,1,0,5643.7
Chongqing-Ev,2025-03-21_12:00,Chongqing,0,0,1,0,4962.83
Chongqing-Ev,2025-03-21_16:00,Chongqing,0,0,1,0,3868.58
Chongqing-Ev,2025-03-21_20:00,Chongqing,1,669.293,0,0,6232.83
Chongqing-Ev,2025-04-11_00:00,Chongqing,1,607.047,0,0,6175.36
Chongqing-Ev,2025-04-11_04:00,Chongqing,0,0,1,0,6168.72
Chongqing-Ev,2025-04-11_08:00,Chongqing,0,0,1,0,5074.47
Chongqing-Ev,2025-04-11_12:00,Chongqing,1,0,0,0,4648.93
Chongqing-Ev,2025-04-11_16:00,Chongqing,1,0,0,0,4405.76
Chongqing-Ev,2025-04-11_20:00,Chongqing,1,0,0,0,3868.58
Chongqing-Ev,2025-05-22_00:00,Chongqing,1,785.3,0,0,6839.45
Chongqing-Ev,2025-05-22_04:00,Chongqing,0,0,1,0,6839.45
Chongqing-Ev,2025-05-22_08:00,Chongqing,1,1.79613,0,0,5204.9
