load_zone,timestamp,component,injects_or_withdraws,value
Chongqing,2025.01.22.00,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.01.22.00,InjectIntoDistributedGrid,injects,16578.3402406925
Chongqing,2025.01.22.00,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.01.22.00,EvDischargePower,injects,0.0
Chongqing,2025.01.22.00,zone_demand_mw,withdraws,-16578.3402406925
Chongqing,2025.01.22.00,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.01.22.00,EvChargePower,withdraws,-0.0
Chongqing,2025.01.22.04,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.01.22.04,InjectIntoDistributedGrid,injects,13370.8635377752
Chongqing,2025.01.22.04,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.01.22.04,EvDischargePower,injects,0.0
Chongqing,2025.01.22.04,zone_demand_mw,withdraws,-13370.8635377752
Chongqing,2025.01.22.04,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.01.22.04,EvChargePower,withdraws,-0.0
Chongqing,2025.01.22.08,ZoneTotalDistributedDispatch,injects,2.1406639800000002
Chongqing,2025.01.22.08,InjectIntoDistributedGrid,injects,13861.8554574528
Chongqing,2025.01.22.08,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.01.22.08,EvDischargePower,injects,0.0
Chongqing,2025.01.22.08,zone_demand_mw,withdraws,-13863.9961214328
Chongqing,2025.01.22.08,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.01.22.08,EvChargePower,withdraws,-0.0
Chongqing,2025.01.22.12,ZoneTotalDistributedDispatch,injects,57.03511800000001
Chongqing,2025.01.22.12,InjectIntoDistributedGrid,injects,17320.802981860797
Chongqing,2025.01.22.12,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.01.22.12,EvDischargePower,injects,0.0
Chongqing,2025.01.22.12,zone_demand_mw,withdraws,-17377.8380998608
Chongqing,2025.01.22.12,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.01.22.12,EvChargePower,withdraws,-0.0
Chongqing,2025.01.22.16,ZoneTotalDistributedDispatch,injects,85.82095200000002
Chongqing,2025.01.22.16,InjectIntoDistributedGrid,injects,18479.8698997714
Chongqing,2025.01.22.16,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.01.22.16,EvDischargePower,injects,0.0
Chongqing,2025.01.22.16,zone_demand_mw,withdraws,-18565.6908517714
Chongqing,2025.01.22.16,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.01.22.16,EvChargePower,withdraws,-0.0
Chongqing,2025.01.22.20,ZoneTotalDistributedDispatch,injects,0.0
Chongqing,2025.01.22.20,InjectIntoDistributedGrid,injects,17455.398633910332
Chongqing,2025.01.22.20,StorageNetDisChargeforDis,injects,0.0
Chongqing,2025.01.22.20,EvDischargePower,injects,0.0
Chongqing,2025.01.22.20,zone_demand_mw,withdraws,-16985.0609928577
Chongqing,2025.01.22.20,StorageNetChargeforDis,withdraws,-0.0
Chongqing,2025.01.22.20,EvChargePower,withdraws,-470.33764105263197
