load_zone,timestamp,ZoneTotalDistributedDispatch,InjectIntoDistributedGrid,StorageNetDisChargeforDis,EvDischargePower,zone_demand_mw,StorageNetChargeforDis,EvChargePower
Chongqing,2025.01.22.00,0.0,16578.3402406925,0.0,0.0,-16578.3402406925,-0.0,-0.0
Chongqing,2025.01.22.04,0.0,13370.8635377752,0.0,0.0,-13370.8635377752,-0.0,-0.0
Chongqing,2025.01.22.08,2.1406639800000002,13861.8554574528,0.0,0.0,-13863.9961214328,-0.0,-0.0
Chongqing,2025.01.22.12,57.03511800000001,17320.802981860797,0.0,0.0,-17377.8380998608,-0.0,-0.0
Chongqing,2025.01.22.16,85.82095200000002,18479.8698997714,0.0,0.0,-18565.6908517714,-0.0,-0.0
Chongqing,2025.01.22.20,0.0,17455.398633910332,0.0,0.0,-16985.0609928577,-0.0,-470.33764105263197
Chongqing,2025.02.08.00,0.0,14570.138523438,0.0,0.0,-14570.138523438,-0.0,-0.0
Chongqing,2025.02.08.04,0.0,11751.1965067037,0.0,0.0,-11751.1965067037,-0.0,-0.0
Chongqing,2025.02.08.08,8.083427100000002,12176.510509623602,0.0,0.0,-12184.5939367236,-0.0,-0.0
Chongqing,2025.02.08.12,200.39422200000004,15332.8339337711,0.0,0.0,-15272.7899582711,-0.0,-260.43819750000006
Chongqing,2025.02.08.16,101.70342000000002,16466.54378847549,0.0,0.0,-16316.7532796597,-0.0,-251.49392881578956
Chongqing,2025.02.08.20,0.0,14927.5915382373,0.0,0.0,-14927.5915382373,-0.0,-0.0
Chongqing,2025.03.21.00,0.0,15040.142991936,0.0,0.0,-15040.142991936,-0.0,-0.0
Chongqing,2025.03.21.04,0.0,12130.2673617586,0.0,0.0,-12130.2673617586,-0.0,-0.0
Chongqing,2025.03.21.08,7.595828100000002,12570.0495259373,0.0,0.0,-12577.6453540373,-0.0,-0.0
Chongqing,2025.03.21.12,97.56845700000002,15667.892145086298,0.0,0.0,-15765.4606020863,-0.0,-0.0
Chongqing,2025.03.21.16,47.839239000000006,16795.260920648798,0.0,0.0,-16843.1001596488,-0.0,-0.0
Chongqing,2025.03.21.20,0.0,16078.41983020083,0.0,0.0,-15409.1267491482,-0.0,-669.2930810526315
Chongqing,2025.04.11.00,0.0,16148.527880088253,0.0,0.0,-15541.4810916672,-0.0,-607.0467884210523
Chongqing,2025.04.11.04,0.0,12534.6096071506,0.0,0.0,-12534.6096071506,-0.0,-0.0
Chongqing,2025.04.11.08,23.488924200000007,12973.411274971899,0.0,0.0,-12996.9001991719,-0.0,-0.0
Chongqing,2025.04.11.12,36.34089900000001,16254.635056489202,0.0,0.0,-16290.9759554892,-0.0,-0.0
