TRANSMISSION_LINE,PERIOD,trans_lz1,trans_lz2,trans_dbid,trans_length_km,trans_efficiency,trans_derating_factor,TxCapacityNameplate,TxCapacityNameplateAvailable,TotalAnnualCost
Xinjiang-Shandong,2023,Xinjiang,Shandong,152,2602.64,0.838279,1,7200.0,7200.0,1258354171.6081061
Xinjiang-Henan,2023,Xinjiang,Henan,150,2443.06,0.848195,1,14400.0,14400.0,2376460743.298892
Yunnan-Zhejiang,2023,Yunnan,Zhejiang,159,1812.17,0.887397,1,15200.0,15200.0,1923222467.648472
East_Inner_Mongolia-Jiangsu,2023,East_Inner_Mongolia,Jiangsu,18,1675.78,0.895872,1,7200.0,7200.0,851066634.1367197
Xinjiang-Gansu,2023,Xinjiang,Gansu,149,1618.11,0.899455,1,2500.0,2500.0,286710022.51553077
Tibet-Xinjiang,2023,Tibet,Xinjiang,140,1602.25,0.900441,1,0.0,0.0,0.0
Ningxia-Zhejiang,2023,Ningxia,Zhejiang,99,1564.38,0.902794,1,7200.0,7200.0,802114438.9030141
Gansu-Jiangsu,2023,Gansu,Jiangsu,27,1452.51,0.909745,1,7200.0,7200.0,752955712.8635647
Xinjiang-Qinghai,2023,Xinjiang,Qinghai,151,1441.96,0.910401,1,2500.0,2500.0,259833248.40815604
West_Inner_Mongolia-Jiangxi,2023,West_Inner_Mongolia,Jiangxi,145,1404.34,0.912738,1,7200.0,7200.0,731788502.4110727
Guizhou-Jiangsu,2023,Guizhou,Jiangsu,46,1316.98,0.918167,1,7200.0,7200.0,693400138.1775311
Tibet-Qinghai,2023,Tibet,Qinghai,138,1256.33,0.921936,1,1500.0,1500.0,138906015.7690992
Tibet-Yunnan,2023,Tibet,Yunnan,141,1251.93,0.922209,1,0.0,0.0,0.0
Tibet-Sichuan,2023,Tibet,Sichuan,139,1249.31,0.922371,1,0.0,0.0,0.0
Sichuan-Guangdong,2023,Sichuan,Guangdong,128,1236.78,0.92315,1,17341.028725605232,17341.028725605232,1585158062.5491998
Chongqing-Hebei,2023,Chongqing,Hebei,10,1196.49,0.925654,1,4000.0,4000.0,355807527.3751635
East_Inner_Mongolia-Shandong,2023,East_Inner_Mongolia,Shandong,21,1189.06,0.926115,1,14400.0,14400.0,1274377209.6711192
East_Inner_Mongolia-Hebei,2023,East_Inner_Mongolia,Hebei,16,1111.45,0.930938,1,4000.0,4000.0,335047031.2517128
Yunnan-Guangdong,2023,Yunnan,Guangdong,154,1092.54,0.932113,1,24700.0,24700.0,2040408979.1039355
Shanxi-Hunan,2023,Shanxi,Hunan,121,1075.97,0.933142,1,5000.0,5000.0,407981789.9692148
West_Inner_Mongolia-East_Inner_Mongolia,2023,West_Inner_Mongolia,East_Inner_Mongolia,142,981.676,0.939001,1,0.0,0.0,0.0
Ningxia-Shandong,2023,Ningxia,Shandong,97,966.387,0.939952,1,4000.0,4000.0,299633345.3491243
Shaanxi-Jiangsu,2023,Shaanxi,Jiangsu,108,946.625,0.941179,1,7987.610140101555,7987.610140101555,588704684.5638498
East_Inner_Mongolia-Tianjin,2023,East_Inner_Mongolia,Tianjin,22,918.685,0.942916,1,4000.0,4000.0,287988035.07065713
Sichuan-Hunan,2023,Sichuan,Hunan,130,903.926,0.943833,1,10500.0,10500.0,746510561.4160633
West_Inner_Mongolia-Gansu,2023,West_Inner_Mongolia,Gansu,143,867.854,0.946074,1,0.0,0.0,0.0
Liaoning-Hebei,2023,Liaoning,Hebei,93,867.054,0.946124,1,0.0,0.0,0.0
Shanxi-Jiangsu,2023,Shanxi,Jiangsu,122,859.141,0.946615,1,5000.0,5000.0,341814727.20534366
East_Inner_Mongolia-Beijing,2023,East_Inner_Mongolia,Beijing,15,856.281,0.946793,1,5000.0,5000.0,340941975.8690156
West_Inner_Mongolia-Shaanxi,2023,West_Inner_Mongolia,Shaanxi,147,767.499,0.95231,1,0.0,0.0,0.0
Guangxi-Hunan,2023,Guangxi,Hunan,41,760.987,0.952715,1,0.0,0.0,0.0
Chongqing-Hubei,2023,Chongqing,Hubei,11,757.077,0.952957,1,2500.0,2500.0,155334550.24760458
Hebei-Anhui,2023,Hebei,Anhui,49,732.678,0.954473,1,4000.0,4000.0,242578844.07307145
Qinghai-Sichuan,2023,Qinghai,Sichuan,101,694.63,0.956838,1,4968.339631605951,4968.339631605951,289766396.30357903
Guangdong-Fujian,2023,Guangdong,Fujian,34,693.238,0.956924,1,0.0,0.0,0.0
